verb,,active,passive,verb,bad,exclude,match
discern,1015,The scientist discerned a new pattern.  ,A new pattern was discerned by the scientist.,discern,,,True
discover,3683,The detective discovered the missing evidence.,The missing evidence was discovered by the detective.,discover,,,True
discover,955,The children discovered a hidden treasure.,A hidden treasure was discovered by the children.,discover,,,True
discover,959,The students discovered a fascinating book.,A fascinating book was discovered by the students.,discover,,,True
discover,3682,The researcher discovered a rare species.,A rare species was discovered by the researcher.,discover,,,True
discover,954,The explorers discovered an ancient temple.,An ancient temple was discovered by the explorers.,discover,,,True
disgust,3363,The situation disgusted the employees.,The employees were disgusted by the situation.,disgust,,,True
disgust,3357,The report disgusted the readers.,The readers were disgusted by the report.,disgust,,,True
disgust,3361,The food disgusted the diners.,The diners were disgusted by the food.,disgust,,,True
disgust,3362,The news disgusted the citizens.,The citizens were disgusted by the news.,disgust,,,True
disgust,3356,The smell disgusted the guests.,The guests were disgusted by the smell.,disgust,,,True
dislike,3913,The customer disliked the service.,The service was disliked by the customer.,dislike,,,True
dislike,3907,The audience disliked the performance.,The performance was disliked by the audience.,dislike,,,True
dislike,3911,The critics disliked the film.,The film was disliked by the critics.,dislike,,,True
dislike,3912,The team disliked the referee's decision.,The referee's decision was disliked by the team.,dislike,,,True
dislike,3906,The teacher disliked the student's excuses.,The student's excuses were disliked by the teacher.,dislike,,,True
dispatch,3054,The authority dispatched the task force.  ,The task force was dispatched by the authority.,dispatch,,,True
dispatch,3048,The worker dispatched the letters.  ,The letters were dispatched by the worker.,dispatch,,,True
dispatch,3052,The fleet dispatched the vehicles.  ,The vehicles were dispatched by the fleet.,dispatch,,,True
dispatch,3053,The service dispatched the technician.  ,The technician was dispatched by the service.,dispatch,,,True
dispatch,3047,The company dispatched the packages.  ,The packages were dispatched by the company.,dispatch,,,True
distract,3372,The urgent message distracted the workers.,The workers were distracted by the urgent message.,distract,,,True
distract,3366,The funny movie distracted the audience.,The audience was distracted by the funny movie.,distract,,,True
distract,3370,The unexpected question distracted the speaker.,The speaker was distracted by the unexpected question.,distract,,,True
distract,3371,The intense game distracted the players.,The players were distracted by the intense game.,distract,,,True
distract,3365,The bright lights distracted the drivers.,The drivers were distracted by the bright lights.,distract,,,True
distrust,3922,The journalist distrusted the official statement.,The official statement was distrusted by the journalist.,distrust,,,True
distrust,3916,The friend distrusted the rumors.,The rumors were distrusted by the friend.,distrust,,,True
distrust,3920,The historian distrusted the source.,The source was distrusted by the historian.,distrust,,,True
distrust,3921,The family distrusted the new neighbor.,The new neighbor was distrusted by the family.,distrust,,,True
distrust,3915,The community distrusted the politician.,The politician was distrusted by the community.,distrust,,,True
disturb,3381,The announcement disturbed the audience.  ,The audience was disturbed by the announcement.,disturb,,,True
disturb,3375,The construction work disturbed the meeting.  ,The meeting was disturbed by the construction work.,disturb,,,True
disturb,3379,The sudden movement disturbed the sleeping cat.  ,The sleeping cat was disturbed by the sudden movement.,disturb,,,True
disturb,3380,The loud music disturbed the residents.  ,The residents were disturbed by the loud music.,disturb,,,True
disturb,3374,The barking dog disturbed the neighbors.  ,The neighbors were disturbed by the barking dog.,disturb,,,True
divide,1734,The siblings divided the inheritance.,The inheritance was divided by the siblings.,divide,,,True
divide,1728,The committee divided the funds.,The funds were divided by the committee.,divide,,,True
divide,1732,The children divided the toys.,The toys were divided by the children.,divide,,,True
divide,1733,The artist divided the canvas.,The canvas was divided by the artist.,divide,,,True
divide,1727,The chef divided the cake.,The cake was divided by the chef.,divide,,,True
divorce,820,The lawyer divorced his client.,His client was divorced by the lawyer.,divorce,,,True
divorce,821,John divorced his wife.,His wife was divorced by John.,divorce,,,True
dodge,2698,The soldier dodged the bullet.,The bullet was dodged by the soldier.,dodge,,,True
dodge,818,The dancer dodged his partner.,His partner was dodged by the dancer.,dodge,,,True
dodge,2696,The cat dodged the dog.,The dog was dodged by the cat.,dodge,,,True
dodge,2697,The bird dodged the hawk.,The hawk was dodged by the bird.,dodge,,,True
dodge,817,The car dodged an obstacle.,An obstacle was dodged by the car.,dodge,,,True
dot,4125,The student dotted the worksheet.  ,The worksheet was dotted by the student.,dot,,,True
dot,4120,The teacher dotted the notes.  ,The notes were dotted by the teacher.,dot,,,True
dot,4119,The child dotted the paper.  ,The paper was dotted by the child.,dot,,,True
dot,4124,The scientist dotted the chart.  ,The chart was dotted by the scientist.,dot,,,True
dot,4118,The artist dotted the canvas.  ,The canvas was dotted by the artist.,dot,,,True
drag,2405,The team dragged the flag.  ,The flag was dragged by the team.,drag,,,True
drag,2399,The worker dragged the cart.  ,The cart was dragged by the worker.,drag,,,True
drag,2403,The thief dragged the suitcase.  ,The suitcase was dragged by the thief.,drag,,,True
drag,2404,The farmer dragged the plow.  ,The plow was dragged by the farmer.,drag,,,True
drag,2398,The child dragged the toy.  ,The toy was dragged by the child.,drag,,,True
draw,265,The scientist drew a conclusion.,A conclusion was drawn by the scientist.,draw,,,True
draw,259,The teacher drew a diagram.,A diagram was drawn by the teacher.,draw,,,True
draw,263,The designer drew a dress pattern.,A dress pattern was drawn by the designer.,draw,,,True
draw,264,The cartoonist drew a comic strip.,A comic strip was drawn by the cartoonist.,draw,,,True
draw,258,A child drew a picture.,A picture was drawn by a child.,draw,,,True
dread,3931,The traveler dreaded the flight delay.  ,The flight delay was dreaded by the traveler.,dread,,,True
dread,3925,The employee dreaded the meeting.  ,The meeting was dreaded by the employee.,dread,,,True
dread,3929,The artist dreaded the critique.  ,The critique was dreaded by the artist.,dread,,,True
dread,3930,The family dreaded the long journey.  ,The long journey was dreaded by the family.,dread,,,True
dread,3924,The student dreaded the exam.  ,The exam was dreaded by the student.,dread,,,True
dress,3035,The cook dressed the salad.,The salad was dressed by the cook.,dress,,,True
dress,3031,A woman dressed the mannequin.,The mannequin was dressed by a woman.,dress,,,True
dress,3030,The tailor dressed the suit.,The suit was dressed by the tailor.,dress,,,True
dress,3029,The child dressed the doll.,The doll was dressed by the child.,dress,,,True
dress,3033,The parent dressed the baby.,The baby was dressed by the parent.,dress,,,True
dribble,4259,The athlete dribbled the ball down the court.  ,The ball was dribbled down the court by the athlete.,dribble,,,True
dribble,1256,The toddler dribbled juice on the table.  ,Juice was dribbled by the toddler on the table.,dribble,,,True
dribble,1255,The coach dribbled a cone during practice.  ,A cone was dribbled by the coach during practice.,dribble,,,True
dribble,1254,The artist dribbled paint on the canvas.  ,Paint was dribbled by the artist on the canvas.,dribble,,,True
dribble,4257,The player dribbled the basketball.  ,The basketball was dribbled by the player.,dribble,,,True
drink,629,The artist drank paint water.,Paint water was drunk by the artist.,drink,,,True
drink,623,The chef drank a cup of coffee.,A cup of coffee was drunk by the chef.,drink,,,True
drink,627,The waiter drank soda.,Soda was drunk by the waiter.,drink,,,True
drink,628,The scientist drank a sample.,A sample was drunk by the scientist.,drink,,,True
drink,622,The dog drank some water.,Some water was drunk by the dog.,drink,,,True
drip,1260,The sponge dripped liquid.,Liquid was dripped by the sponge.,drip,,,True
drip,1259,The candle dripped wax.,Wax was dripped by the candle.,drip,,,True
drip,1262,The pipe dripped oil.,Oil was dripped by the pipe.,drip,,,True
drip,1258,The faucet dripped water.,Water was dripped by the faucet.,drip,,,True
drip,1261,The tree dripped sap.,Sap was dripped by the tree.,drip,,,True
drive,360,Sarah drove the sports car.,The sports car was driven by Sarah.,drive,,,True
drive,354,The coach drove the players.,The players were driven by the coach.,drive,,,True
drive,358,The couple drove the convertible.,The convertible was driven by the couple.,drive,,,True
drive,359,The teacher drove the school bus.,The school bus was driven by the teacher.,drive,,,True
drive,353,A family drove the truck.,The truck was driven by a family.,drive,,,True
drop,2236,The child dropped the ice cream.,The ice cream was dropped by the child.,drop,,,True
drop,2230,The cat dropped the toy.,The toy was dropped by the cat.,drop,,,True
drop,2234,The waiter dropped the glass.,The glass was dropped by the waiter.,drop,,,True
drop,2235,The lady dropped the keys.,The keys were dropped by the lady.,drop,,,True
drop,2229,A worker dropped the package.,The package was dropped by a worker.,drop,,,True
drown,3094,The dark clouds drowned the sun.,The sun was drowned by the dark clouds.,drown,,,True
drown,3088,The storm drowned the small boat.,The small boat was drowned by the storm.,drown,,,True
drown,3087,The heavy rain drowned the garden.,The garden was drowned by the heavy rain.,drown,,,True
drown,897,The wave drowned a sailor.,A sailor was drowned by the wave.,drown,,,True
drown,3090,The river drowned the poor fish.,The poor fish was drowned by the river.,drown,,,True
dump,1372,The chef dumped the ingredients.,The ingredients were dumped by the chef.,dump,,,True
dump,1366,The company dumped the chemicals.,The chemicals were dumped by the company.,dump,,,True
dump,1370,The farmer dumped the feed.,The feed was dumped by the farmer.,dump,,,True
dump,1371,The gardener dumped the soil.,The soil was dumped by the gardener.,dump,,,True
dump,1365,The worker dumped the trash.,The trash was dumped by the worker.,dump,,,True
earn,1568,The chef earned respect.,Respect was earned by the chef.,earn,,,True
earn,1562,The contractor earned a large profit.,A large profit was earned by the contractor.,earn,,,True
earn,1566,The author earned acclaim.,Acclaim was earned by the author.,earn,,,True
earn,1567,The musician earned a reward.,A reward was earned by the musician.,earn,,,True
earn,369,The student earned a scholarship.,A scholarship was earned by the student.,earn,,,True
eat,721,The athlete ate the bananas.,The bananas were eaten by the athlete.,eat,,,True
eat,715,The dog ate the steak.,The steak was eaten by the dog.,eat,,,True
eat,719,The bird ate the seeds.,The seeds were eaten by the bird.,eat,,,True
eat,720,The toddler ate the apple.,The apple was eaten by the toddler.,eat,,,True
eat,714,The child ate the cookie.,The cookie was eaten by the child.,eat,,,True
eliminate,3063,The software eliminated the bugs.  ,The bugs were eliminated by the software.,eliminate,,,True
eliminate,3057,The coach eliminated the distractions.  ,The distractions were eliminated by the coach.,eliminate,,,True
eliminate,3061,The process eliminated the errors.  ,The errors were eliminated by the process.,eliminate,,,True
eliminate,3062,The policy eliminated the loopholes.  ,The loopholes were eliminated by the policy.,eliminate,,,True
eliminate,3056,The scientist eliminated the variable.  ,The variable was eliminated by the scientist.,eliminate,,,True
elude,2707,The goal eluded the team.,The team was eluded by the goal.,elude,,,True
elude,2701,The thief eluded the police.,The police were eluded by the thief.,elude,,,True
elude,2705,The secret eluded the journalists.,The journalists were eluded by the secret.,elude,,,True
elude,2706,The dream eluded the artist.,The artist was eluded by the dream.,elude,,,True
elude,2700,The treasure eluded the explorers.,The treasure was eluded by the explorers.,elude,,,True
embarass,3389,The speech embarrassed the participant.,The participant was embarrassed by the speech.,embarass,,,True
embarass,3383,The mistake embarrassed the student.,The student was embarrassed by the mistake.,embarass,,,True
embarass,3387,The question embarrassed the politician.,The politician was embarrassed by the question.,embarass,,,True
embarass,3388,The parent embarrassed the child.,The child was embarrassed by the parent.,embarass,,,True
embarass,3382,The loud noise embarrassed the audience.,The audience was embarrassed by the loud noise.,embarass,,,True
embrace,2924,The community embraced the diversity.,The diversity was embraced by the community.,embrace,,,True
embrace,2919,The couple embraced the moment.,The moment was embraced by the couple.,embrace,,,True
embrace,2918,The coach embraced the player.,The player was embraced by the coach.,embrace,,,True
embrace,2923,The team embraced the victory.,The victory was embraced by the team.,embrace,,,True
embrace,856,The mother embraced her child.,Her child was embraced by the mother.,embrace,,,True
empty,1505,The chef emptied the pot.  ,The pot was emptied by the chef.,empty,,,True
empty,1500,The child emptied the backpack.  ,The backpack was emptied by the child.,empty,,,True
empty,1499,The staff emptied the trash can.  ,The trash can was emptied by the staff.,empty,,,True
empty,1504,The gardener emptied the wheelbarrow.  ,The wheelbarrow was emptied by the gardener.,empty,,,True
empty,1497,The worker emptied the bucket.  ,The bucket was emptied by the worker.,empty,,,True
encircle,4108,The waves encircled the rock.  ,The rock was encircled by the waves.,encircle,,,True
encircle,4102,The dogs encircled the ball.  ,The ball was encircled by the dogs.,encircle,,,True
encircle,4106,The river encircled the island.  ,The island was encircled by the river.,encircle,,,True
encircle,4107,The guests encircled the table.  ,The table was encircled by the guests.,encircle,,,True
encircle,4101,The soldiers encircled the enemy camp.  ,The enemy camp was encircled by the soldiers.,encircle,,,True
encourage,3398,The community encouraged the volunteers.,The volunteers were encouraged by the community.,encourage,,,True
encourage,3392,A parent encouraged the child.,The child was encouraged by a parent.,encourage,,,True
encourage,3396,The book encouraged the reader.,The reader was encouraged by the book.,encourage,,,True
encourage,3397,The boss encouraged the employees.,The employees were encouraged by the boss.,encourage,,,True
encourage,3391,The coach encouraged the team.,The team was encouraged by the coach.,encourage,,,True
enrage,3407,The delay enraged the passengers.,The passengers were enraged by the delay.,enrage,,,True
enrage,3401,The decision enraged the group.,The group was enraged by the decision.,enrage,,,True
enrage,3405,The noise enraged the neighbors.,The neighbors were enraged by the noise.,enrage,,,True
enrage,3406,The insult enraged the guest.,The guest was enraged by the insult.,enrage,,,True
enrage,3400,The comment enraged the audience.,The audience was enraged by the comment.,enrage,,,True
entertain,3416,The band entertained the partygoers.,The partygoers were entertained by the band.,entertain,,,True
entertain,3410,A musician entertained the audience.,The audience was entertained by a musician.,entertain,,,True
entertain,3414,A storyteller entertained the family.,The family was entertained by a storyteller.,entertain,,,True
entertain,3415,The puppet show entertained the toddlers.,The toddlers were entertained by the puppet show.,entertain,,,True
entertain,3409,The magician entertained the guests.,The guests were entertained by the magician.,entertain,,,True
envy,3940,The chef envied the reviews given to the competitor.,The reviews given to the competitor were envied by the chef.,envy,,,True
envy,3934,The neighbor envied the garden of the family next door.,The garden of the family next door was envied by the neighbor.,envy,,,True
envy,3938,The author envied the popularity of the bestseller.,The popularity of the bestseller was envied by the author.,envy,,,True
envy,3939,The musician envied the talent of the prodigy.,The talent of the prodigy was envied by the musician.,envy,,,True
envy,3933,The student envied the grades of his classmates.,The grades of his classmates were envied by the student.,envy,,,True
escort,3212,The father escorted the child.,The child was escorted by the father.,escort,,,True
escort,3206,An officer escorted the visitor.,The visitor was escorted by an officer.,escort,,,True
escort,3210,The diplomat escorted the ambassador.,The ambassador was escorted by the diplomat.,escort,,,True
escort,3211,A friend escorted the bride.,The bride was escorted by a friend.,escort,,,True
escort,3205,A guard escorted the VIP.,The VIP was escorted by a guard.,escort,,,True
examine,3692,The researcher examined the data.,The data was examined by the researcher.,examine,,,True
examine,3686,The teacher examined the essays.,The essays were examined by the teacher.,examine,,,True
examine,3690,The detective examined the evidence.,The evidence was examined by the detective.,examine,,,True
examine,3691,The student examined the textbook.,The textbook was examined by the student.,examine,,,True
examine,3685,The scientist examined the samples.,The samples were examined by the scientist.,examine,,,True
excuse,2783,The doctor excused the patient from work.,The patient was excused from work by the doctor.,excuse,,,True
excuse,2777,The manager excused the late arrival.,The late arrival was excused by the manager.,excuse,,,True
excuse,2781,The host excused the guests before dinner.,The guests were excused by the host before dinner.,excuse,,,True
excuse,2782,The organizer excused the volunteers for their time.,The volunteers were excused by the organizer for their time.,excuse,,,True
excuse,2776,The teacher excused the student.,The student was excused by the teacher.,excuse,,,True
execute,3072,The programmer executed the program.  ,The program was executed by the programmer.,execute,,,True
execute,3066,A hacker executed the code.  ,The code was executed by a hacker.,execute,,,True
execute,3070,The manager executed the decision.  ,The decision was executed by the manager.,execute,,,True
execute,3071,The soldier executed the drill.  ,The drill was executed by the soldier.,execute,,,True
execute,3065,The team executed the plan.  ,The plan was executed by the team.,execute,,,True
expel,2336,The university expelled the student.,The student was expelled by the university.,expel,,,True
expel,2330,The school expelled the troublemaker.,The troublemaker was expelled by the school.,expel,,,True
expel,2334,The council expelled the disruptive resident.,The disruptive resident was expelled by the council.,expel,,,True
expel,2335,The authorities expelled the journalist.,The journalist was expelled by the authorities.,expel,,,True
expel,746,The club expelled an unruly member.,An unruly member was expelled by the club.,expel,,,True
explain,4067,The speaker explained the purpose.  ,The purpose was explained by the speaker.,explain,,,True
explain,4061,The author explained the theme.  ,The theme was explained by the author.,explain,,,True
explain,4065,The manager explained the procedure.  ,The procedure was explained by the manager.,explain,,,True
explain,4066,The parent explained the rules.  ,The rules were explained by the parent.,explain,,,True
explain,4060,The scientist explained the experiment.  ,The experiment was explained by the scientist.,explain,,,True
exterminate,2016,The workers exterminated the invasive species.,The invasive species were exterminated by the workers.,exterminate,,,True
exterminate,2010,The gardener exterminated the weeds.,The weeds were exterminated by the gardener.,exterminate,,,True
exterminate,2014,The exterminator exterminated the cockroaches.,The cockroaches were exterminated by the exterminator.,exterminate,,,True
exterminate,2015,The initiative exterminated the disease.,The disease was exterminated by the initiative.,exterminate,,,True
exterminate,2009,The company exterminated the termites.,The termites were exterminated by the company.,exterminate,,,True
fascinate,3425,The sculpture fascinated the visitors.,The visitors were fascinated by the sculpture.,fascinate,,,True
fascinate,3419,The story fascinated the children.,The children were fascinated by the story.,fascinate,,,True
fascinate,3423,The performance fascinated the crowd.,The crowd was fascinated by the performance.,fascinate,,,True
fascinate,3424,The experiment fascinated the scientists.,The scientists were fascinated by the experiment.,fascinate,,,True
fascinate,3418,The painting fascinated the art critic.,The art critic was fascinated by the painting.,fascinate,,,True
fear,3948,The bird feared the cat.,The cat was feared by the bird.,fear,,,True
fear,3942,The lion feared the storm.,The storm was feared by the lion.,fear,,,True
fear,3946,The artist feared rejection.,Rejection was feared by the artist.,fear,,,True
fear,3947,The soldier feared the enemy.,The enemy was feared by the soldier.,fear,,,True
fear,3941,The child feared the dark.,The dark was feared by the child.,fear,,,True
feed,3020,The volunteer fed the homeless.  ,The homeless were fed by the volunteer.,feed,,,True
feed,3014,The teacher fed the students.  ,The students were fed by the teacher.,feed,,,True
feed,3018,The zookeeper fed the lions.  ,The lions were fed by the zookeeper.,feed,,,True
feed,3019,The child fed the cat.  ,The cat was fed by the child.,feed,,,True
feed,3013,The mother fed the baby.  ,The baby was fed by the mother.,feed,,,True
"feed (i.e., be enough for a certain number of people)",4234,The harvest fed the entire community.  ,The entire community was fed by the harvest.,"feed (i.e., be enough for a certain number of people)",,,True
"feed (i.e., be enough for a certain number of people)",1182,The buffet fed ten children.  ,Ten children were fed by the buffet.,"feed (i.e., be enough for a certain number of people)",,,True
"feed (i.e., be enough for a certain number of people)",1186,The donation fed an entire village.  ,An entire village was fed by the donation.,"feed (i.e., be enough for a certain number of people)",,,True
"feed (i.e., be enough for a certain number of people)",4233,The garden fed several families.  ,The garden was fed by several families.,"feed (i.e., be enough for a certain number of people)",,,True
"feed (i.e., be enough for a certain number of people)",1181,The picnic fed five friends.  ,Five friends were fed by the picnic.,"feed (i.e., be enough for a certain number of people)",,,True
feel,3991,The chef felt the spices' heat.  ,The spices' heat was felt by the chef.,feel,,,True
feel,3986,The artist felt the vibrant colors.  ,The vibrant colors were felt by the artist.,feel,,,True
feel,1018,The writer felt a rush of inspiration.  ,A rush of inspiration was felt by the writer.,feel,,,True
feel,3990,The gardener felt the warm soil.  ,The warm soil was felt by the gardener.,feel,,,True
feel,1017,The athlete felt intense pressure.  ,Intense pressure was felt by the athlete.,feel,,,True
fight,2935,The team fought the odds.,The odds were fought by the team.,fight,,,True
fight,2929,The soldiers fought the enemy.,The enemy was fought by the soldiers.,fight,,,True
fight,2933,The police fought the criminals.,The criminals were fought by the police.,fight,,,True
fight,2934,The boxers fought the match.,The match was fought by the boxers.,fight,,,True
fight,2928,The children fought the monster.,The monster was fought by the children.,fight,,,True
fill,1437,The contractor filled the bucket.,The bucket was filled by the contractor.,fill,,,True
fill,1431,The artist filled the canvas.,The canvas was filled by the artist.,fill,,,True
fill,1435,The engineer filled the tank.,The tank was filled by the engineer.,fill,,,True
fill,1436,The volunteer filled the shelf.,The shelf was filled by the volunteer.,fill,,,True
fill,1430,The farmer filled the silo.,The silo was filled by the farmer.,fill,,,True
"fill (i.e., occupy a particular area of land)",4197,The crowd filled the stadium.,The stadium was filled by the crowd.,"fill (i.e., occupy a particular area of land)",,,True
"fill (i.e., occupy a particular area of land)",4192,The forest filled the landscape.,The landscape was filled by the forest.,"fill (i.e., occupy a particular area of land)",,,True
"fill (i.e., occupy a particular area of land)",4191,The river filled the valley.,The valley was filled by the river.,"fill (i.e., occupy a particular area of land)",,,True
"fill (i.e., occupy a particular area of land)",4190,The house filled the lot.,The lot was filled by the house.,"fill (i.e., occupy a particular area of land)",,,True
"fill (i.e., occupy a particular area of land)",4195,The building filled the space.,The space was filled by the building.,"fill (i.e., occupy a particular area of land)",,,True
film,2624,The journalist filmed the interview.,The interview was filmed by the journalist.,film,,,True
film,2619,The director filmed the documentary.,The documentary was filmed by the director.,film,,,True
film,803,The artist filmed a music video.,A music video was filmed by the artist.,film,,,True
film,2623,The company filmed the advertisement.,The advertisement was filmed by the company.,film,,,True
film,802,The crew filmed a movie.,A movie was filmed by the crew.,film,,,True
find,2437,The teacher found the answer.,The answer was found by the teacher.,find,,,True
find,760,The gardener found buried treasure.,Buried treasure was found by the gardener.,find,,,True
find,764,The archaeologist found ancient pottery.,Ancient pottery was found by the archaeologist.,find,,,True
find,765,The scientist found a cure.,A cure was found by the scientist.,find,,,True
find,759,The detective found a clue.,A clue was found by the detective.,find,,,True
finish,2188,The musician finished the song.,The song was finished by the musician.,finish,,,True
finish,2182,The athlete finished the race.,The race was finished by the athlete.,finish,,,True
finish,2186,The child finished the book.,The book was finished by the child.,finish,,,True
finish,2187,The worker finished the task.,The task was finished by the worker.,finish,,,True
finish,2181,The student finished the assignment.,The assignment was finished by the student.,finish,,,True
fit,4232,The project fit the requirements.  ,The requirements were fit by the project.,fit,,,True
fit,1175,The shoes fit her feet.  ,The shoes were fit by her feet.,fit,,,True
fit,1179,The car fit the garage.  ,The garage was fit by the car.,fit,,,True
fit,4231,The couch fit the living room.  ,The living room was fit by the couch.,fit,,,True
fit,1174,The key fit the lock.  ,The lock was fit by the key.,fit,,,True
fold,2121,The tailor folded the garments.,The garments were folded by the tailor.,fold,,,True
fold,2115,The chef folded the dough.,The dough was folded by the chef.,fold,,,True
fold,2119,The student folded the notes.,The notes were folded by the student.,fold,,,True
fold,2120,The friend folded the letter.,The letter was folded by the friend.,fold,,,True
fold,2114,The child folded the shirt.,The shirt was folded by the child.,fold,,,True
follow,3167,The hiker followed the trail.  ,The trail was followed by the hiker.,follow,,,True
follow,3161,The group followed the leader.  ,The leader was followed by the group.,follow,,,True
follow,3165,The bird followed the squirrel.  ,The squirrel was followed by the bird.,follow,,,True
follow,3166,The car followed the bus.  ,The bus was followed by the car.,follow,,,True
follow,3160,The runner followed the path.  ,The path was followed by the runner.,follow,,,True
forget,1011,The parent forgot the event.  ,The event was forgotten by the parent.,forget,,,True
forget,1005,The child forgot the toy.  ,The toy was forgotten by the child.,forget,,,True
forget,1009,The driver forgot the directions.  ,The directions were forgotten by the driver.,forget,,,True
forget,1010,The chef forgot the recipe.  ,The recipe was forgotten by the chef.,forget,,,True
forget,1004,The teacher forgot the assignment.  ,The assignment was forgotten by the teacher.,forget,,,True
forgive,831,The doctor forgave the patient.,The patient was forgiven by the doctor.,forgive,,,True
forgive,825,The friend forgave the mistake.,The mistake was forgiven by the friend.,forgive,,,True
forgive,829,The employer forgave the delay.,The delay was forgiven by the employer.,forgive,,,True
forgive,830,The neighbor forgave the noise.,The noise was forgiven by the neighbor.,forgive,,,True
forgive,824,The mother forgave the child.,The child was forgiven by the mother.,forgive,,,True
freeze,494,The children froze ice cubes.,Ice cubes were frozen by the children.,freeze,,,True
freeze,493,The family froze the meat.,The meat was frozen by the family.,freeze,,,True
freeze,496,The scientist froze the samples.,The samples were frozen by the scientist.,freeze,,,True
freeze,492,The chef froze the leftovers.,The leftovers were frozen by the chef.,freeze,,,True
freeze,495,The gardener froze the flowers.,The flowers were frozen by the gardener.,freeze,,,True
frighten,3434,The unexpected event frightened the guests.,The guests were frightened by the unexpected event.,frighten,,,True
frighten,3428,A loud noise frightened the dog.,The dog was frightened by a loud noise.,frighten,,,True
frighten,3432,The masked figure frightened the passersby.,The passersby were frightened by the masked figure.,frighten,,,True
frighten,3433,The haunted house frightened the visitors.,The visitors were frightened by the haunted house.,frighten,,,True
frighten,3427,The movie frightened the audience.,The audience was frightened by the movie.,frighten,,,True
fry,2137,A chef fried the vegetables.,The vegetables were fried by a chef.,fry,,,True
fry,691,The mother fried some bacon.,Some bacon was fried by the mother.,fry,,,True
fry,2135,A cook fried the chicken.,The chicken was fried by a cook.,fry,,,True
fry,2136,The group fried the fish.,The fish was fried by the group.,fry,,,True
fry,690,The restaurant fried potatoes.,Potatoes were fried by the restaurant.,fry,,,True
get,1071,The dog got the ball.,The ball was gotten by the dog.,get,,,True
get,1065,The cat got the fish.,The fish was gotten by the cat.,get,,,True
get,1069,The gardener got the flowers.,The flowers were gotten by the gardener.,get,,,True
get,1070,The teacher got the students' assignments.,The students' assignments were gotten by the teacher.,get,,,True
get,165,The athlete got a medal.,A medal was gotten by the athlete.,get,,,True
glimpse,3697,The mother glimpsed the child at play.  ,The child was glimpsed at play by the mother.,glimpse,,,True
glimpse,962,The artist glimpsed a passerby.  ,A passerby was glimpsed by the artist.,glimpse,,,True
glimpse,3695,The tourist glimpsed the monument.  ,The monument was glimpsed by the tourist.,glimpse,,,True
glimpse,3696,The scientist glimpsed the rare species.  ,The rare species was glimpsed by the scientist.,glimpse,,,True
glimpse,961,The hiker glimpsed a deer.  ,A deer was glimpsed by the hiker.,glimpse,,,True
grab,2444,The student grabbed the book.,The book was grabbed by the student.,grab,,,True
grab,2440,The waiter grabbed the plates.,The plates were grabbed by the waiter.,grab,,,True
grab,2439,The athlete grabbed the trophy.,The trophy was grabbed by the athlete.,grab,,,True
grab,2438,The child grabbed the toy.,The toy was grabbed by the child.,grab,,,True
grab,2442,The dog grabbed the ball.,The ball was grabbed by the dog.,grab,,,True
greet,2792,The soldier greeted the general.,The general was greeted by the soldier.,greet,,,True
greet,2786,The host greeted the guests.,The guests were greeted by the host.,greet,,,True
greet,2790,The athlete greeted the coach.,The coach was greeted by the athlete.,greet,,,True
greet,2791,The waiter greeted the diners.,The diners were greeted by the waiter.,greet,,,True
greet,2785,The child greeted the neighbor.,The neighbor was greeted by the child.,greet,,,True
grill,2145,The party host grilled the sausages.  ,The sausages were grilled by the party host.,grill,,,True
grill,2139,The cook grilled the vegetables.  ,The vegetables were grilled by the cook.,grill,,,True
grill,2143,The caterer grilled the shrimp.  ,The shrimp was grilled by the caterer.,grill,,,True
grill,2144,The neighbor grilled the corn.  ,The corn was grilled by the neighbor.,grill,,,True
grill,2138,The chef grilled the steak.  ,The steak was grilled by the chef.,grill,,,True
grip,1615,The driver gripped the steering wheel.,The steering wheel was gripped by the driver.,grip,,,True
grip,1609,The teacher gripped the marker.,The marker was gripped by the teacher.,grip,,,True
grip,1608,The athlete gripped the bat.,The bat was gripped by the athlete.,grip,,,True
grip,1613,The mechanic gripped the wrench.,The wrench was gripped by the mechanic.,grip,,,True
grip,1607,The child gripped the toy.,The toy was gripped by the child.,grip,,,True
groom,3044,The worker groomed the garden.,The garden was groomed by the worker.,groom,,,True
groom,3039,The caretaker groomed the dog.,The dog was groomed by the caretaker.,groom,,,True
groom,3038,A stylist groomed the model.,The model was groomed by a stylist.,groom,,,True
groom,3037,The artist groomed the horse.,The horse was groomed by the artist.,groom,,,True
groom,3041,The zookeeper groomed the lion.,The lion was groomed by the zookeeper.,groom,,,True
grow,432,The chef grew herbs.,Herbs were grown by the chef.,grow,,,True
grow,427,The scientist grew bacteria.,Bacteria were grown by the scientist.,grow,,,True
grow,426,The farmer grew corn.,Corn was grown by the farmer.,grow,,,True
grow,425,The child grew a garden.,A garden was grown by the child.,grow,,,True
grow,429,The company grew its profits.,Its profits were grown by the company.,grow,,,True
growl,556,The wolf growled a low sound.,A low sound was growled by the wolf.,growl,,,True
growl,555,The bear growled its displeasure.,Its displeasure was growled by the bear.,growl,,,True
growl,558,The monster growled a scary noise.,A scary noise was growled by the monster.,growl,,,True
growl,554,The tiger growled a fierce warning.,A fierce warning was growled by the tiger.,growl,,,True
growl,557,The lion growled a deep growl.,A deep growl was growled by the lion.,growl,,,True
