active,passive,verb,bad,exclude,match
The boxer beat his opponent.,The opponent was beaten by the boxer.,beat,,,False
A teacher beat the drum.,The drum was beaten by a teacher.,beat,,,False
The children beat the piñata.,The piñata was beaten by the children.,beat,,,False
The athlete beat the record.,The record was beaten by the athlete.,beat,,,False
The coach beat the team.,The team was beaten by the coach.,beat,,,False
The artist beat the canvas.,The canvas was beaten by the artist.,beat,,,False
The horse beat the other racers.,The other racers were beaten by the horse.,beat,,,False
The chef beat the eggs.,The eggs were beaten by the chef.,beat,,,False
The lake froze solid.,The lake was frozen solid.,freeze,,,False
The chef froze the leftovers.,The leftovers were frozen by the chef.,freeze,,,False
I froze the berries.,The berries were frozen by me.,freeze,x,,False
She froze a cake.,The cake was frozen by her.,freeze,x,,False
The family froze the meat.,The meat was frozen by the family.,freeze,,,False
The children froze ice cubes.,The ice cubes were frozen by the children.,freeze,,,False
The gardener froze the flowers.,The flowers were frozen by the gardener.,freeze,,,False
The scientist froze the samples.,The samples were frozen by the scientist.,freeze,,,False
The artist froze the paint.,The paint was frozen by the artist.,freeze,,,False
The sun melted the ice.  ,The ice was melted by the sun.,melt,,,True
The heat melted the chocolate.  ,The chocolate was melted by the heat.,melt,,,True
The flames melted the wax.  ,The wax was melted by the flames.,melt,,,True
The fire melted the metal.  ,The metal was melted by the fire.,melt,,,True
The sun melted the snow.  ,The snow was melted by the sun.,melt,,,True
The warmth melted the butter.  ,The butter was melted by the warmth.,melt,,,True
The temperature melted the glass.  ,The glass was melted by the temperature.,melt,,,True
The steam melted the sugar.  ,The sugar was melted by the steam.,melt,,,True
The oven melted the cheese.  ,The cheese was melted by the oven.,melt,,,True
The tailor altered the dress.,The dress was altered by the tailor.,alter,,,True
The artist altered the painting.,The painting was altered by the artist.,alter,,,True
The chef altered the recipe.,The recipe was altered by the chef.,alter,,,True
The teacher altered the schedule.,The schedule was altered by the teacher.,alter,,,True
The technician altered the settings.,The settings were altered by the technician.,alter,,,True
The editor altered the manuscript.,The manuscript was altered by the editor.,alter,,,True
The contractor altered the blueprints.,The blueprints were altered by the contractor.,alter,,,True
The designer altered the plans.,The plans were altered by the designer.,alter,,,True
The musician altered the song.,The song was altered by the musician.,alter,,,True
The choir chanted a hymn.,The hymn was chanted by the choir.,chant,,,False
The protesters chanted slogans.,The slogans were chanted by the protesters.,chant,,,False
The students chanted the school song.,The school song was chanted by the students.,chant,,,True
The fans chanted the team's name.,The team's name was chanted by the fans.,chant,,,True
The children chanted a rhyme.,The rhyme was chanted by the children.,chant,,,False
The crowd chanted a rallying cry.,The rallying cry was chanted by the crowd.,chant,,,False
The priests chanted prayers.,The prayers were chanted by the priests.,chant,,,False
The audience chanted for an encore.,The encore was chanted for by the audience.,chant,x,,False
The monks chanted in unison.,The monks were chanted in unison.,chant,x,,False
The teacher directed the students.,The students were directed by the teacher.,direct,,,True
The manager directed the project.,The project was directed by the manager.,direct,,,True
The filmmaker directed a documentary.,The documentary was directed by the filmmaker.,direct,,,False
The coach directed the team.,The team was directed by the coach.,direct,,,True
The conductor directed the orchestra.,The orchestra was directed by the conductor.,direct,,,True
The author directed the reader’s attention.,The reader’s attention was directed by the author.,direct,x,,True
The supervisor directed the workers.,The workers were directed by the supervisor.,direct,,,True
The officer directed traffic.,The traffic was directed by the officer.,direct,,,False
The artist directed the installation.,The installation was directed by the artist.,direct,,,True
The singer hummed a tune.,The tune was hummed by the singer.,hum,,,False
The child hummed a melody.,The melody was hummed by the child.,hum,,,False
The musician hummed the song.,The song was hummed by the musician.,hum,,,True
The teacher hummed a lesson.,The lesson was hummed by the teacher.,hum,x,,False
The artist hummed the refrain.,The refrain was hummed by the artist.,hum,,,True
The crowd hummed the anthem.,The anthem was hummed by the crowd.,hum,,,True
The musician hummed a beat.,The beat was hummed by the musician.,hum,,,False
The chef hummed a jingle.,The jingle was hummed by the chef.,hum,,,False
The group hummed a harmony.,The harmony was hummed by the group.,hum,,,False
The dancer performed a routine.,The routine was performed by the dancer.,perform,,,False
The band performed a new song.,The new song was performed by the band.,perform,,,False
The magician performed a trick.,The trick was performed by the magician.,perform,,,False
The actor performed a monologue.,The monologue was performed by the actor.,perform,,,False
The team performed a victory celebration.,The victory celebration was performed by the team.,perform,,,False
The students performed a play.,The play was performed by the students.,perform,,,False
The choir performed a concert.,The concert was performed by the choir.,perform,,,False
The comedian performed a set.,The set was performed by the comedian.,perform,,,False
The orchestra performed a symphony.,The symphony was performed by the orchestra.,perform,,,False
The children played soccer.,The soccer was played by the children.,play,,,False
The musician played a song.,The song was played by the musician.,play,,,False
The team played a match.,The match was played by the team.,play,,,False
The actor played a character.,The character was played by the actor.,play,,,False
The dog played fetch.,The fetch was played by the dog.,play,,,False
The students played games.,The games were played by the students.,play,,,False
The artist played a melody.,The melody was played by the artist.,play,,,False
The friends played cards.,The cards were played by the friends.,play,,,False
The coach played the best players.,The best players were played by the coach.,play,,,True
The choir sang a hymn.,The hymn was sung by the choir.,sing,,,False
The children sang a song.,The song was sung by the children.,sing,,,False
The performer sang a ballad.,The ballad was sung by the performer.,sing,,,False
The artist sang an opera.,The opera was sung by the artist.,sing,,,False
The group sang the national anthem.,The national anthem was sung by the group.,sing,,,False
The soloist sang the verse.,The verse was sung by the soloist.,sing,,,False
The lady sang a lullaby.,The lullaby was sung by the lady.,sing,,,False
The band sang a melody.,The melody was sung by the band.,sing,,,False
The crowd sang the chorus.,The chorus was sung by the crowd.,sing,,,False
The detective searched the room.  ,The room was searched by the detective.,search,,,True
The child searched for toys.  ,The toys were searched for by the child.,search,,,False
Sarah searched the database.  ,The database was searched by Sarah.,search,,,True
John searched the internet.  ,The internet was searched by John.,search,,,True
The librarian searched the archives.  ,The archives were searched by the librarian.,search,,,True
Mary searched her bag.  ,The bag was searched by Mary.,search,,,False
The team searched the documents.  ,The documents were searched by the team.,search,,,True
The police searched the area.  ,The area was searched by the police.,search,,,True
The scientist searched for answers.  ,The answers were searched for by the scientist.,search,x,what is this,False
The teacher asked a question.,The question was asked by the teacher.,ask,x,,False
She asked her friend.,The friend was asked by her.,ask,x,,False
The child asked for help.,The help was asked for by the child.,ask,x,,False
The manager asked the employee.,The employee was asked by the manager.,ask,x,,True
He asked the audience a puzzle.,The puzzle was asked to the audience by him.,ask,x,,False
They asked the waiter for recommendations.,The waiter was asked for recommendations by them.,ask,x,,False
The detective asked the suspect.,The suspect was asked by the detective.,ask,x,,True
The student asked the librarian.,The librarian was asked by the student.,ask,x,,True
The reporter asked the politician.,The politician was asked by the reporter.,ask,x,,True
The teacher quoted a famous author.,The famous author was quoted by the teacher.,quote,,,False
The speaker quoted a well-known phrase.,The well-known phrase was quoted by the speaker.,quote,,,False
The journalist quoted the latest study.,The latest study was quoted by the journalist.,quote,,,True
The professor quoted a historical figure.,The historical figure was quoted by the professor.,quote,,,False
The critic quoted several passages.,The passages were quoted by the critic.,quote,,,False
The student quoted her research paper.,The research paper was quoted by the student.,quote,,,False
The author quoted an ancient text.,The ancient text was quoted by the author.,quote,,,False
The director quoted a line from a movie.,The line from a movie was quoted by the director.,quote,,,False
The lawyer quoted the legal statute.,The legal statute was quoted by the lawyer.,quote,,,True
The child read a book.,The book was read by the child.,read,,,False
The teacher read an article.,The article was read by the teacher.,read,,,False
The scientist read the report.,The report was read by the scientist.,read,,,True
Sarah read the letter.,The letter was read by Sarah.,read,,,True
The student read the assignment.,The assignment was read by the student.,read,,,True
The mother read a story.,The story was read by the mother.,read,,,False
The detective read the evidence.,The evidence was read by the detective.,read,,,True
John read the newspaper.,The newspaper was read by John.,read,,,True
The librarian read a poem.,The poem was read by the librarian.,read,,,False
The student recited a poem.,The poem was recited by the student.,recite,,,False
The actor recited the lines.,The lines were recited by the actor.,recite,,,True
The choir recited the song.,The song was recited by the choir.,recite,,,True
The child recited the nursery rhyme.,The nursery rhyme was recited by the child.,recite,,,True
The professor recited the lecture notes.,The lecture notes were recited by the professor.,recite,,,True
The historian recited the events.,The events were recited by the historian.,recite,,,True
The narrator recited the story.,The story was recited by the narrator.,recite,,,True
The teacher recited the instructions.,The instructions were recited by the teacher.,recite,,,True
The contestant recited the speech.,The speech was recited by the contestant.,recite,,,True
The teacher told a story.,The story was told by the teacher.,tell,,,False
The parent told a secret.,The secret was told by the parent.,tell,,,False
The friend told a joke.,The joke was told by the friend.,tell,,,False
The reporter told the news.,The news was told by the reporter.,tell,x,weird,True
The coach told the players.,The players were told by the coach.,tell,x,,True
The doctor told the patient.,The patient was told by the doctor.,tell,x,,True
The guide told the tourists.,The tourists were told by the guide.,tell,x,,True
The author told a tale.,The tale was told by the author.,tell,,,False
The manager told the team.,The team was told by the manager.,tell,x,,True
The dog barked at the mailman.,The mailman was barked at by the dog.,bark,x,,True
A neighbor's dog barked all night.,The dog was barked at by a neighbor all night.,bark,x,,False
The puppy barked a warning.,The warning was barked by the puppy.,bark,,,False
The guard dog barked loudly.,The guard dog was loudly barked at.,bark,x,,False
The dog barked at the intruder.,The intruder was barked at by the dog.,bark,x,,True
The dogs barked at the passing car.,The passing car was barked at by the dogs.,bark,x,,True
The dog barked at a squirrel.,The squirrel was barked at by the dog.,bark,x,,False
The dog barked during the thunderstorm.,The thunderstorm was barked at by the dog.,bark,x,,False
The large dog barked fiercely.,The large dog was barked at fiercely.,bark,x,,False
The dog growled at the stranger.,The stranger was growled at by the dog.,growl,x,,True
The tiger growled a fierce warning.,The fierce warning was growled by the tiger.,growl,,,False
The cat growled over the food.,The food was growled over by the cat.,growl,x,,True
The bear growled its displeasure.,The displeasure was growled by the bear.,growl,,,False
The wolf growled a low sound.,The low sound was growled by the wolf.,growl,,,False
The lion growled a deep growl.,The deep growl was growled by the lion.,growl,,,False
The puppy growled softly in its sleep.,The puppy was growled at softly in its sleep.,growl,x,,False
The crowd growled in frustration.,The frustration was growled at by the crowd.,growl,x,,False
The monster growled a scary noise.,The scary noise was growled by the monster.,growl,,,False
The student mumbled the answer.,The answer was mumbled by the student.,mumble,,,True
The teacher mumbled instructions.,The instructions were mumbled by the teacher.,mumble,,,False
The child mumbled a song.,The song was mumbled by the child.,mumble,,,False
The speaker mumbled a response.,The response was mumbled by the speaker.,mumble,,,False
The visitor mumbled a greeting.,The greeting was mumbled by the visitor.,mumble,,,False
The artist mumbled his thoughts.,The thoughts were mumbled by the artist.,mumble,,,False
The actor mumbled the lines.,The lines were mumbled by the actor.,mumble,,,True
The friend mumbled a compliment.,The compliment was mumbled by the friend.,mumble,,,False
The waiter mumbled the specials.,The specials were mumbled by the waiter.,mumble,,,True
The teacher muttered a complaint.  ,The complaint was muttered by the teacher.,mutter,,,False
The student muttered an answer.  ,The answer was muttered by the student.,mutter,,,False
The crowd muttered a response.  ,The response was muttered by the crowd.,mutter,,,False
The child muttered a secret.  ,The secret was muttered by the child.,mutter,,,False
The woman muttered an insult.  ,The insult was muttered by the woman.,mutter,,,False
The mechanic muttered a warning.  ,A warning was muttered by the mechanic.,mutter,,,True
The waiter muttered a suggestion.  ,The suggestion was muttered by the waiter.,mutter,,,False
The librarian muttered a quote.  ,The quote was muttered by the librarian.,mutter,,,False
The artist muttered a phrase.  ,The phrase was muttered by the artist.,mutter,,,False
The lion roared at the sky.,The sky was roared at by the lion.,roar,x,,True
The crowd roared during the concert.,The concert was roared at by the crowd.,roar,x,,False
A tiger roared in the jungle.,The jungle was roared in by a tiger.,roar,x,,True
The engine roared with power.,The engine was roared with power.,roar,x,,False
The crowd roared their approval.,The approval was roared by the crowd.,roar,,,False
The dragon roared with fury.,The dragon was roared at with fury.,roar,x,,False
The audience roared with laughter.,The laughter was roared by the audience.,roar,x,,False
The car roared down the highway.,The highway was roared down by the car.,roar,x,,True
The bear roared in the cave.,The cave was roared in by the bear.,roar,x,,True
The child screamed a loud noise.,The loud noise was screamed by the child.,scream,x,,False
The woman screamed a warning.,The warning was screamed by the woman.,scream,,,False
The crowd screamed the team’s name.,The team’s name was screamed by the crowd.,scream,,,True
The soldier screamed a command.,The command was screamed by the soldier.,scream,,,False
The teacher screamed the instructions.,The instructions were screamed by the teacher.,scream,,,True
The horror movie screamed terror.,The terror was screamed by the horror movie.,scream,x,,False
The audience screamed their approval.,The approval was screamed by the audience.,scream,,,False
The dog screamed in pain.,The pain was screamed by the dog.,scream,x,,False
The musician screamed a high note.,The high note was screamed by the musician.,scream,,,False
The coach shouted instructions.,The instructions were shouted by the coach.,shout,,,False
A child shouted a name.,The name was shouted by a child.,shout,,,False
The crowd shouted their support.,The support was shouted by the crowd.,shout,,,False
The teacher shouted a warning.,The warning was shouted by the teacher.,shout,,,False
The speaker shouted a message.,The message was shouted by the speaker.,shout,,,False
A woman shouted directions.,The directions were shouted by a woman.,shout,,,False
The fans shouted encouragement.,The encouragement was shouted by the fans.,shout,,,False
The parent shouted a response.,The response was shouted by the parent.,shout,,,False
The soldier shouted an order.,The order was shouted by the soldier.,shout,,,False
The child stammered a few words.  ,"The child stammered a few words.  
Output: A few words were stammered by the child.",stammer,,,False
The student stammered an answer.  ,The answer was stammered by the student.,stammer,,,False
The speaker stammered his speech.  ,The speech was stammered by the speaker.,stammer,,,False
The actor stammered his line.  ,The line was stammered by the actor.,stammer,,,False
The boy stammered his request.  ,The request was stammered by the boy.,stammer,,,False
The adult stammered the instructions.  ,The instructions were stammered by the adult.,stammer,,,True
The interviewee stammered an explanation.  ,The explanation was stammered by the interviewee.,stammer,,,False
The teacher stammered a question.  ,The question was stammered by the teacher.,stammer,,,False
The contestant stammered a response.  ,The response was stammered by the contestant.,stammer,,,False
The teacher whispered a secret.  ,The secret was whispered by the teacher.,whisper,,,False
The girl whispered a story.  ,The story was whispered by the girl.,whisper,,,False
A friend whispered an idea.  ,The idea was whispered by a friend.,whisper,,,False
The child whispered a name.  ,The name was whispered by the child.,whisper,,,False
The spy whispered instructions.  ,The instructions were whispered by the spy.,whisper,,,False
The assistant whispered advice.  ,The advice was whispered by the assistant.,whisper,,,False
The couple whispered sweet nothings.  ,The sweet nothings were whispered by the couple.,whisper,,,False
The student whispered an answer.  ,The answer was whispered by the student.,whisper,,,False
The witness whispered the truth.  ,The truth was whispered by the witness.,whisper,,,True
The teacher yelled a warning.,The warning was yelled by the teacher.,yell,,,False
The coach yelled instructions.,The instructions were yelled by the coach.,yell,,,False
The crowd yelled his name.,The name was yelled by the crowd.,yell,,,False
The child yelled a song.,The song was yelled by the child.,yell,,,False
The crowd yelled their support.,Output: Support was yelled by the crowd.,yell,,,False
The parent yelled a command.,The command was yelled by the parent.,yell,,,False
The artist yelled a message.,The message was yelled by the artist.,yell,,,False
The fans yelled the team's chant.,The team's chant was yelled by the fans.,yell,,,True
The neighbor yelled a greeting.,The greeting was yelled by the neighbor.,yell,,,False
The manager announced the decision.,The decision was announced by the manager.,announce,,,True
The teacher announced an exam.,The exam was announced by the teacher.,announce,,,False
The mayor announced a new policy.,The new policy was announced by the mayor.,announce,,,False
The company announced the merger.,The merger was announced by the company.,announce,,,True
The speaker announced the winner.,The winner was announced by the speaker.,announce,,,True
The host announced the event.,The event was announced by the host.,announce,,,True
The director announced the film's release.,The film's release was announced by the director.,announce,,,True
The coach announced the roster.,The roster was announced by the coach.,announce,,,True
The principal announced the schedule.,The schedule was announced by the principal.,announce,,,True
The teacher mentioned the book.,The book was mentioned by the teacher.,mention,,,True
The journalist mentioned the incident.,The incident was mentioned by the journalist.,mention,,,True
The conference mentioned the new policy.,The new policy was mentioned by the conference.,mention,,,True
The author mentioned the character.,The character was mentioned by the author.,mention,,,True
The student mentioned the assignment.,The assignment was mentioned by the student.,mention,,,True
The manager mentioned the deadline.,The deadline was mentioned by the manager.,mention,,,True
The friend mentioned the movie.,The movie was mentioned by the friend.,mention,,,True
The doctor mentioned the symptoms.,The symptoms were mentioned by the doctor.,mention,,,True
The article mentioned the statistics.,The statistics were mentioned by the article.,mention,,,True
The chef proposed a new recipe.  ,The new recipe was proposed by the chef.,propose,,,False
The committee proposed a new plan.  ,The new plan was proposed by the committee.,propose,,,False
The teacher proposed a solution.  ,A solution was proposed by the teacher.,propose,,,True
The scientist proposed a theory.  ,The theory was proposed by the scientist.,propose,,,False
The manager proposed a budget.  ,The budget was proposed by the manager.,propose,,,False
The architect proposed a design.  ,The design was proposed by the architect.,propose,,,False
The lawyer proposed a settlement.  ,The settlement was proposed by the lawyer.,propose,,,False
The artist proposed a collaboration.  ,The collaboration was proposed by the artist.,propose,,,False
The director proposed a project.  ,The project was proposed by the director.,propose,,,False
The teacher repeated the lesson.,The lesson was repeated by the teacher.,repeat,,,True
The student repeated the instructions.,The instructions were repeated by the student.,repeat,,,True
The performer repeated the song.,The song was repeated by the performer.,repeat,,,True
The speaker repeated the announcement.,The announcement was repeated by the speaker.,repeat,,,True
The child repeated the phrase.,The phrase was repeated by the child.,repeat,,,True
The artist repeated the pattern.,The pattern was repeated by the artist.,repeat,,,True
The coach repeated the strategy.,The strategy was repeated by the coach.,repeat,,,True
The scientist repeated the experiment.,The experiment was repeated by the scientist.,repeat,,,True
The friend repeated the joke.,The joke was repeated by the friend.,repeat,,,True
The journalist reported the news.,The news was reported by the journalist.,report,,,True
The victim reported the offender.,The grades were reported by the teacher.,report,,,False
The student reported the incident.,The incident was reported by the student.,report,,,True
The doctor reported the symptoms.,The symptoms were reported by the doctor.,report,,,True
The researcher reported the findings.,The findings were reported by the researcher.,report,,,True
The manager reported the issue.,The issue was reported by the manager.,report,,,True
The witness reported the accident.,The accident was reported by the witness.,report,,,True
The analyst reported the results.,The results were reported by the analyst.,report,,,True
The committee reported their decision.,The decision was reported by the committee.,report,,,False
The dog drank some water.,The water was drunk by the dog.,drink,,,False
The chef drank a cup of coffee.,The cup of coffee was drunk by the chef.,drink,,,False
The girl drank a smoothie.,The smoothie was drunk by the girl.,drink,,,False
The athlete drank a protein shake.,The protein shake was drunk by the athlete.,drink,,,False
The child drank juice.,The juice was drank by the child.,drink,,,False
The teacher drank iced tea.,The iced tea was drunk by the teacher.,drink,,,False
The waiter drank soda.,The soda was drunk by the waiter.,drink,,,False
The scientist drank a sample.,The sample was drunk by the scientist.,drink,,,False
The artist drank paint water.,The paint water was drunk by the artist.,drink,,,False
The dog chewed a bone.  ,The bone was chewed by the dog.,chew,,,False
The child chewed the gum.  ,The gum was chewed by the child.,chew,,,True
The horse chewed the hay.  ,The hay was chewed by the horse.,chew,,,True
The student chewed a pencil.  ,The pencil was chewed by the student.,chew,,,False
The rabbit chewed some carrots.  ,The carrots were chewed by the rabbit.,chew,,,False
The cow chewed the grass.  ,The grass was chewed by the cow.,chew,,,True
The toddler chewed the cracker.  ,The cracker was chewed by the toddler.,chew,,,True
The parrot chewed the toy.  ,The toy was chewed by the parrot.,chew,,,True
The athlete chewed the energy bar.  ,The energy bar was chewed by the athlete.,chew,,,True
The rabbit munched on some carrots.,The carrots were munched on by the rabbit.,munch,,,False
The child munched a cookie.,The cookie was munched by the child.,munch,,munch on?,False
The student munched the popcorn.,The popcorn was munched by the student.,munch,,,True
The horse munched hay.,The hay was munched by the horse.,munch,,,False
The squirrel munched on an acorn.,The acorn was munched on by the squirrel.,munch,,,False
The toddler munched a cracker.,The cracker was munched by the toddler.,munch,,,False
The bird munched seeds.,The seeds were munched by the bird.,munch,,,False
The cat munched the fish.,The fish was munched by the cat.,munch,,,True
The dog munched the meat.,The meat was munched by the dog.,munch,,,True
The rabbit nibbled a carrot.  ,The carrot was nibbled by the rabbit.,nibble,,,False
A child nibbled a cookie.  ,The cookie was nibbled by a child.,nibble,,,False
The squirrel nibbled an acorn.  ,The acorn was nibbled by the squirrel.,nibble,,,False
A bird nibbled some seeds.  ,The seeds were nibbled by a bird.,nibble,,,False
The cat nibbled the fish.  ,The fish was nibbled by the cat.,nibble,,,True
The horse nibbled the grass.  ,The grass was nibbled by the horse.,nibble,,,True
An insect nibbled a leaf.  ,The leaf was nibbled by an insect.,nibble,,,False
A toddler nibbled the sandwich.  ,The sandwich was nibbled by a toddler.,nibble,,,True
The deer nibbled on the flowers.  ,The flowers were nibbled on by the deer.,nibble,,,True
The child sipped the juice.,The juice was sipped by the child.,sip,,,True
The chef sipped the soup.,The soup was sipped by the chef.,sip,,,True
The student sipped the coffee.,The coffee was sipped by the student.,sip,,,True
The woman sipped the tea.,The tea was sipped by the woman.,sip,,,True
The baby sipped the milk.,The milk was sipped by the baby.,sip,,,True
The traveler sipped the water.,The water was sipped by the traveler.,sip,,,True
The athlete sipped the energy drink.,The energy drink was sipped by the athlete.,sip,,,True
The guest sipped the champagne.,The champagne was sipped by the guest.,sip,,,True
The artist sipped the smoothie.,The smoothie was sipped by the artist.,sip,,,True
The child slurped the soup.,The soup was slurped by the child.,slurp,,,True
The cat slurped the milk.,The milk was slurped by the cat.,slurp,,,True
The boy slurped the noodles.,The noodles were slurped by the boy.,slurp,,,True
A teenager slurped the drink.,The drink was slurped by a teenager.,slurp,,,True
The chef slurped the sauce.,The sauce was slurped by the chef.,slurp,,,True
The dog slurped the water.,The water was slurped by the dog.,slurp,,,True
The girl slurped the smoothie.,The smoothie was slurped by the girl.,slurp,,,True
The toddler slurped the juice.,The juice was slurped by the toddler.,slurp,,,True
An athlete slurped the protein shake.,The protein shake was slurped by an athlete.,slurp,,,True
The child sucked his thumb.,The thumb was sucked by the child.,suck,,,False
The vacuum sucked up the dirt.,The dirt was sucked up by the vacuum.,suck,x,,True
The dog sucked on the toy.,The toy was sucked on by the dog.,suck,x,,True
The baby sucked a bottle.,The bottle was sucked by the baby.,suck,,,False
The athlete sucked air after the race.,The air was sucked by the athlete after the race.,suck,x,,False
The straw sucked the juice.,The juice was sucked by the straw.,suck,,,True
The artist sucked the paint from the brush.,The paint was sucked from the brush by the artist.,suck,x,,True
The machine sucked the moisture from the air.,The moisture was sucked from the air by the machine.,suck,,,True
The fish sucked the bait.,The bait was sucked by the fish.,suck,,,True
The dog gobbled the leftovers.,The leftovers were gobbled by the dog.,gobble,,???,True
The children gobbled the cookies.,The cookies were gobbled by the children.,gobble,,,True
The turkey gobbled the corn.,The corn was gobbled by the turkey.,gobble,x,,True
The guests gobbled the appetizers.,The appetizers were gobbled by the guests.,gobble,,,True
The chef gobbled the soup.,The soup was gobbled by the chef.,gobble,,,True
The raccoon gobbled the peanut butter.,The peanut butter was gobbled by the raccoon.,gobble,,,True
The athlete gobbled the energy bars.,The energy bars were gobbled by the athlete.,gobble,,,True
The family gobbled the pizza.,The pizza was gobbled by the family.,gobble,,,True
The team gobbled the snacks.,The snacks were gobbled by the team.,gobble,,,True
The athlete guzzled the water.  ,The water was guzzled by the athlete.,guzzle,,,True
A child guzzled the juice.  ,The juice was guzzled by a child.,guzzle,,,True
The driver guzzled the gasoline.  ,The gasoline was guzzled by the driver.,guzzle,,,True
The tourist guzzled the soda.  ,The soda was guzzled by the tourist.,guzzle,,,True
The worker guzzled the coffee.  ,The coffee was guzzled by the worker.,guzzle,,,True
The guests guzzled the wine.  ,The wine was guzzled by the guests.,guzzle,,,True
The hiker guzzled the energy drink.  ,The energy drink was guzzled by the hiker.,guzzle,,,True
The coach guzzled the sports drink.  ,The sports drink was guzzled by the coach.,guzzle,,,True
The partygoer guzzled the punch.  ,The punch was guzzled by the partygoer.,guzzle,,,True
The bird swallowed the worm.,The worm was swallowed by the bird.,swallow,,,True
The child swallowed the candy.,The candy was swallowed by the child.,swallow,,,True
The snake swallowed the mouse.,The mouse was swallowed by the snake.,swallow,,,True
The athlete swallowed the drink.,The drink was swallowed by the athlete.,swallow,,,True
The fish swallowed the bait.,The bait was swallowed by the fish.,swallow,,,True
The dog swallowed the ball.,The ball was swallowed by the dog.,swallow,,,True
The student swallowed the medicine.,The medicine was swallowed by the student.,swallow,,,True
The chef swallowed the pride.,The pride was swallowed by the chef.,swallow,x,,True
The patient swallowed the pill.,The pill was swallowed by the patient.,swallow,,,True
The chef consumed a hearty meal.  ,The hearty meal was consumed by the chef.,consume,,,False
The scientist consumed the research data.  ,The research data was consumed by the scientist.,consume,x,,True
The athlete consumed a protein shake.  ,The protein shake was consumed by the athlete.,consume,,,False
The family consumed the entire pizza.  ,The entire pizza was consumed by the family.,consume,,,True
The student consumed a large textbook.  ,The large textbook was consumed by the student.,consume,x,,False
The audience consumed the performance eagerly.  ,The performance was consumed eagerly by the audience.,consume,?,,True
The toddler consumed a bowl of cereal.  ,The bowl of cereal was consumed by the toddler.,consume,,,False
The traveler consumed the local cuisine.  ,The local cuisine was consumed by the traveler.,consume,,,True
The child consumed the entire cupcake.  ,The entire cupcake was consumed by the child.,consume,,,True
The lion devoured a gazelle.,The gazelle was devoured by the lion.,devour,,,False
The child devoured the ice cream.,The ice cream was devoured by the child.,devour,,,True
The chef devoured the gourmet dish.,The gourmet dish was devoured by the chef.,devour,,,True
The athlete devoured a protein bar.,The protein bar was devoured by the athlete.,devour,,,False
The raccoon devoured the leftovers.,The leftovers were devoured by the raccoon.,devour,,,True
The book club devoured the novel.,The novel was devoured by the book club.,devour,,,True
The dragon devoured the entire sheep.,The entire sheep was devoured by the dragon.,devour,,,True
The worker devoured the sandwich.,The sandwich was devoured by the worker.,devour,,,True
The crowd devoured the popcorn.,The popcorn was devoured by the crowd.,devour,,,True
The workers demolished an old building.,The old building was demolished by the workers.,demolish,,,False
The storm demolished several homes.,The homes were demolished by the storm.,demolish,,,False
The crew demolished an abandoned warehouse.,The abandoned warehouse was demolished by the crew.,demolish,,,False
The city demolished the unsafe structure.,The unsafe structure was demolished by the city.,demolish,,,True
The developers demolished the historic theater.,The historic theater was demolished by the developers.,demolish,,,True
The organization demolished the outdated playground.,The outdated playground was demolished by the organization.,demolish,,,True
The team demolished the crumbling bridge.,The crumbling bridge was demolished by the team.,demolish,,,True
The government demolished the dilapidated school.,The dilapidated school was demolished by the government.,demolish,,,True
The fire demolished a vacant lot.,The vacant lot was demolished by the fire.,demolish,,,False
The storm destroyed the old house.,The old house was destroyed by the storm.,destroy,,,True
The artist destroyed the canvas.,The canvas was destroyed by the artist.,destroy,,,True
A fire destroyed the barn.,The barn was destroyed by a fire.,destroy,,,True
The children destroyed the sandcastle.,The sandcastle was destroyed by the children.,destroy,,,True
The earthquake destroyed the bridge.,The bridge was destroyed by the earthquake.,destroy,,,True
Vandals destroyed the statue.,The statue was destroyed by the vandals.,destroy,,,False
The explosion destroyed the building.,The building was destroyed by the explosion.,destroy,,,True
The pests destroyed the garden.,The garden was destroyed by the pests.,destroy,,,True
Time destroyed the ancient ruins.,The ancient ruins were destroyed by time.,destroy,,,True
The scientist exterminated the pests.,The pests were exterminated by the scientist.,exterminate,,,True
The company exterminated the termites.,The termites were exterminated by the company.,exterminate,,,True
The gardener exterminated the weeds.,The weeds were exterminated by the gardener.,exterminate,,,True
A team exterminated the rodents.,The rodents were exterminated by a team.,exterminate,,,True
The agency exterminated the insects.,The insects were exterminated by the agency.,exterminate,,,True
The program exterminated the malware.,The malware was exterminated by the program.,exterminate,,,True
The exterminator exterminated the cockroaches.,The cockroaches were exterminated by the exterminator.,exterminate,,,True
The initiative exterminated the disease.,The disease was exterminated by the initiative.,exterminate,,,True
The workers exterminated the invasive species.,The invasive species were exterminated by the workers.,exterminate,,,True
The storm ruined the picnic.,The picnic was ruined by the storm.,ruin,,,True
The child ruined the painting.,The painting was ruined by the child.,ruin,,,True
The chef ruined the dish.,The dish was ruined by the chef.,ruin,,,True
Time ruined the building.,The building was ruined by time.,ruin,,,True
The scandal ruined the reputation.,The reputation was ruined by the scandal.,ruin,,,True
The accident ruined the car.,The car was ruined by the accident.,ruin,,,True
The argument ruined the evening.,The evening was ruined by the argument.,ruin,,,True
The flood ruined the crops.,The crops were ruined by the flood.,ruin,,,True
The mistake ruined the presentation.,The presentation was ruined by the mistake.,ruin,,,True
The storm wrecked the boat.,The boat was wrecked by the storm.,wreck,,,True
