active,passive,verb
The athlete snapped the ribbon.,The ribbon was snapped by the athlete.,snap
The athlete snapped the twig.,The twig was snapped by the athlete.,snap
The team split the prize.,The prize was split by the team.,split
The company split the profits.,The profits were split by the company.,split
The child split the cookie.,The cookie was split by the child.,split
The storm split the tree.,The tree was split by the storm.,split
The chef split the ingredients.,The ingredients were split by the chef.,split
The artist split the canvas.,The canvas was split by the artist.,split
The friends split the bill.,The bill was split by the friends.,split
The judge split the evidence.,The evidence was split by the judge.,split
The workers split the workload.,The workload was split by the workers.,split
The child tore the paper.  ,The paper was torn by the child.,tear
The cat tore the fabric.  ,The fabric was torn by the cat.,tear
A student tore the exam sheet.  ,The exam sheet was torn by a student.,tear
The artist tore the canvas.  ,The canvas was torn by the artist.,tear
The dog tore the toy.  ,The toy was torn by the dog.,tear
The wind tore the flags.  ,The flags were torn by the wind.,tear
The athlete tore the finish line ribbon.  ,The finish line ribbon was torn by the athlete.,tear
The editor tore the page from the book.  ,The page was torn from the book by the editor.,tear
The player tore the playbook.  ,The playbook was torn by the player.,tear
The artist creased the paper.,The paper was creased by the artist.,crease
A student creased the page.,The page was creased by a student.,crease
The designer creased the fabric.,The fabric was creased by the designer.,crease
The child creased the napkin.,The napkin was creased by the child.,crease
The photographer creased the backdrop.,The backdrop was creased by the photographer.,crease
The tailor creased the pants.,The pants were creased by the tailor.,crease
The editor creased the report.,The report was creased by the editor.,crease
The opponent creased the card.,The card was creased by the opponent.,crease
The chef creased the foil.,The foil was creased by the chef.,crease
The blacksmith bent the metal.  ,The metal was bent by the blacksmith.,bend
A child bent the spoon.  ,The spoon was bent by a child.,bend
The artist bent the wire.  ,The wire was bent by the artist.,bend
The gardener bent the branch.  ,The branch was bent by the gardener.,bend
The teacher bent the rules.  ,The rules were bent by the teacher.,bend
The athlete bent the pole.  ,The pole was bent by the athlete.,bend
The mechanic bent the frame.  ,The frame was bent by the mechanic.,bend
The wind bent the grass.  ,The grass was bent by the wind.,bend
The magician bent the card.  ,The card was bent by the magician.,bend
The teacher folded the paper.,The paper was folded by the teacher.,fold
The child folded the shirt.,The shirt was folded by the child.,fold
The chef folded the dough.,The dough was folded by the chef.,fold
The artist folded the canvas.,The canvas was folded by the artist.,fold
The assistant folded the menu.,The menu was folded by the assistant.,fold
The mother folded the blanket.,The blanket was folded by the mother.,fold
The student folded the notes.,The notes were folded by the student.,fold
The friend folded the letter.,The letter was folded by the friend.,fold
The tailor folded the garments.,The garments were folded by the tailor.,fold
The chef baked a chocolate cake.,The chocolate cake was baked by the chef.,bake
Sarah baked cookies yesterday.,The cookies were baked by Sarah yesterday.,bake
The bakery baked fresh bread.,The fresh bread was baked by the bakery.,bake
John baked a pie for dessert.,The pie was baked by John for dessert.,bake
The children baked a birthday cake.,The birthday cake was baked by the children.,bake
The grandmother baked muffins.,The muffins were baked by the grandmother.,bake
The team baked several loaves.,"The sentence can be passivized as follows: 

Output: Several loaves were baked by the team.",bake
Emily baked a batch of brownies.,The brownies were baked by Emily.,bake
The restaurant baked a special dish.,The special dish was baked by the restaurant.,bake
The chef boiled the potatoes.,The potatoes were boiled by the chef.,boil
The scientist boiled the water.,The water was boiled by the scientist.,boil
The child boiled some eggs.,The eggs were boiled by the child.,boil
The cook boiled the soup.,The soup was boiled by the cook.,boil
The grandmother boiled the vegetables.,The vegetables were boiled by the grandmother.,boil
The team boiled the samples.,The samples were boiled by the team.,boil
The factory boiled the sugar.,The sugar was boiled by the factory.,boil
The student boiled the rice.,The rice was boiled by the student.,boil
The mother boiled the corn.,The corn was boiled by the mother.,boil
The chef cooked a delicious meal.  ,The delicious meal was cooked by the chef.,cook
Sarah cooked the vegetables.  ,The vegetables were cooked by Sarah.,cook
The mother cooked a birthday cake.  ,The birthday cake was cooked by the mother.,cook
A student cooked the chicken.  ,The chicken was cooked by a student.,cook
The restaurant cooked the fish.  ,The fish was cooked by the restaurant.,cook
The cook cooked the soup.  ,The soup was cooked by the cook.,cook
Someone cooked the rice.  ,Output: The rice was cooked by someone.,cook
The friends cooked a barbecue.  ,The barbecue was cooked by the friends.,cook
The family cooked a large dinner.  ,The large dinner was cooked by the family.,cook
The chef fried an egg.,The egg was fried by the chef.,fry
A cook fried the chicken.,The chicken was fried by a cook.,fry
The restaurant fried potatoes.,The potatoes were fried by the restaurant.,fry
The mother fried some bacon.,The bacon was fried by the mother.,fry
The group fried the fish.,The fish was fried by the group.,fry
The teenager fried a burger.,The burger was fried by the teenager.,fry
A chef fried the vegetables.,The vegetables were fried by a chef.,fry
The family fried plantains.,The plantains were fried by the family.,fry
The neighbor fried donuts.,The donuts were fried by the neighbor.,fry
The chef grilled the steak.  ,The steak was grilled by the chef.,grill
The cook grilled the vegetables.  ,The vegetables were grilled by the cook.,grill
The team grilled the burgers.  ,The burgers were grilled by the team.,grill
A family grilled the chicken.  ,The chicken was grilled by a family.,grill
The restaurant grilled the fish.  ,The fish was grilled by the restaurant.,grill
The picnic attendees grilled hot dogs.  ,The hot dogs were grilled by the picnic attendees.,grill
The caterer grilled the shrimp.  ,The shrimp was grilled by the caterer.,grill
The neighbor grilled the corn.  ,The corn was grilled by the neighbor.,grill
The party host grilled the sausages.  ,The sausages were grilled by the party host.,grill
The chef toasted the bread.,The bread was toasted by the chef.,toast
The girl toasted the marshmallows.,The marshmallows were toasted by the girl.,toast
The waiter toasted the restaurant's success.,The restaurant's success was toasted by the waiter.,toast
The family toasted the holiday together.,The holiday was toasted by the family together.,toast
The team toasted the championship victory.,The championship victory was toasted by the team.,toast
The couple toasted their anniversary.,The couple's anniversary was toasted by them.,toast
The host toasted the guests at the party.,The guests were toasted by the host at the party.,toast
The children toasted their victory in the game.,The victory in the game was toasted by the children.,toast
The students toasted the end of the school year.,The end of the school year was toasted by the students.,toast
The fire burned the wood.,The wood was burned by the fire.,burn
She burned the toast.,The toast was burned by her.,burn
The sun burned the grass.,The grass was burned by the sun.,burn
The artist burned the canvas.,The canvas was burned by the artist.,burn
The children burned the leaves.,The leaves were burned by the children.,burn
The heat burned the hand.,The hand was burned by the heat.,burn
He burned the photographs.,The photographs were burned by him.,burn
The flames burned the building.,The building was burned by the flames.,burn
The candle burned the wick.,The wick was burned by the candle.,burn
The chef heated the soup.,The soup was heated by the chef.,heat
The sun heated the pavement.,The pavement was heated by the sun.,heat
The family heated the house.,The house was heated by the family.,heat
The technician heated the metal.,The metal was heated by the technician.,heat
The scientist heated the sample.,The sample was heated by the scientist.,heat
The kettle heated the water.,The water was heated by the kettle.,heat
The appliance heated the oil.,The oil was heated by the appliance.,heat
The engineer heated the mixture.,The mixture was heated by the engineer.,heat
The firefighter heated the metal bar.,The metal bar was heated by the firefighter.,heat
The balloon popped suddenly.  ,The balloon was popped suddenly.,pop
The chef popped the corn.  ,The corn was popped by the chef.,pop
The child popped the bubble.  ,The bubble was popped by the child.,pop
The tire popped unexpectedly.  ,The tire was popped unexpectedly.,pop
The soda can popped open.  ,The soda can was popped open.,pop
The musician popped the string.  ,The string was popped by the musician.,pop
The fireworks popped brightly.  ,The fireworks were popped brightly.,pop
The teacher popped the question.  ,The question was popped by the teacher.,pop
The photographer popped the flash.  ,The flash was popped by the photographer.,pop
The sweater shrank in the wash.,The wash caused the sweater to shrink.,shrink
The balloon shrank after the party.,The balloon was shrunk after the party.,shrink
The garden shrank due to the drought.,The garden was shrunk due to the drought.,shrink
The photograph shrank in size.,The size was shrunk by the photograph.,shrink
The paper shrank after being exposed to heat.,The paper was shrunk after being exposed to heat.,shrink
The tree shrank during the winter.,The tree was shrunk during the winter.,shrink
The ice shrank under the sun.,The ice was shrunk by the sun.,shrink
The document shrank when scanned.,The document was shrunk when scanned.,shrink
The tumor shrank following treatment.,The tumor was shrunk following treatment.,shrink
The teacher began the lesson.  ,The lesson was begun by the teacher.,begin
The chef began the cooking.  ,The cooking was begun by the chef.,begin
The students began the project.  ,The project was begun by the students.,begin
The team began the game.  ,The game was begun by the team.,begin
The artist began the painting.  ,The painting was begun by the artist.,begin
The company began a new initiative.  ,The new initiative was begun by the company.,begin
The doctor began the examination.  ,The examination was begun by the doctor.,begin
The writer began a novel.  ,The novel was begun by the writer.,begin
The child began the exercise.  ,The exercise was begun by the child.,begin
The meeting commenced at noon.,The meeting was commenced at noon.,commence
The concert commenced after the announcement.,The announcement was followed by the commencement of the concert.,commence
The project commenced last week.,The project was commenced last week.,commence
The ceremony commenced with a speech.,The speech was delivered to commence the ceremony.,commence
The class commenced on time.,The class was commenced on time.,commence
The game commenced at dawn.,The game was commenced at dawn.,commence
The presentation commenced promptly.,The presentation was commenced promptly.,commence
The discussion commenced with introductions.,The introductions were commenced by the discussion.,commence
The workshop commenced with an overview.,The overview was provided at the commencement of the workshop.,commence
The team continued the project.,The project was continued by the team.,continue
She continued her studies.,The studies were continued by her.,continue
They continued the discussion.,The discussion was continued by them.,continue
The teacher continued the lesson.,The lesson was continued by the teacher.,continue
He continued the tradition.,The tradition was continued by him.,continue
The committee continued the meeting.,The meeting was continued by the committee.,continue
The children continued the game.,The game was continued by the children.,continue
The artist continued the painting.,The painting was continued by the artist.,continue
The writer continued the story.,The story was continued by the writer.,continue
The meeting ended abruptly.,The meeting was ended abruptly.,end
The movie ended unexpectedly.,The movie was ended unexpectedly.,end
The concert ended at midnight.,The concert was ended at midnight.,end
The discussion ended in silence.,The silence was the result of the discussion ending.,end
The party ended on a high note.,The party was ended on a high note.,end
The race ended with a close finish.,The race was ended with a close finish.,end
The relationship ended after years.,The relationship was ended after years.,end
The game ended in a draw.,The game was ended in a draw.,end
The journey ended well.,The journey was ended well.,end
The dog finished the meal.,The meal was finished by the dog.,finish
The student finished the assignment.,The assignment was finished by the student.,finish
The athlete finished the race.,The race was finished by the athlete.,finish
The chef finished the dish.,The dish was finished by the chef.,finish
The team finished the project.,The project was finished by the team.,finish
The artist finished the painting.,The painting was finished by the artist.,finish
The child finished the book.,The book was finished by the child.,finish
The worker finished the task.,The task was finished by the worker.,finish
The musician finished the song.,The song was finished by the musician.,finish
The children started the game.  ,The game was started by the children.,start
The teacher started the lesson.  ,The lesson was started by the teacher.,start
The engineer started the project.  ,The project was started by the engineer.,start
The chef started the dinner.  ,The dinner was started by the chef.,start
The team started the meeting.  ,The meeting was started by the team.,start
The writer started a new book.  ,The new book was started by the writer.,start
The company started the campaign.  ,The campaign was started by the company.,start
The coach started the training.  ,The training was started by the coach.,start
The artist started the painting.  ,The painting was started by the artist.,start
The student completed the assignment.  ,The assignment was completed by the student.,complete
The team completed the project.  ,The project was completed by the team.,complete
The artist completed the painting.  ,The painting was completed by the artist.,complete
The manager completed the report.  ,The report was completed by the manager.,complete
The chef completed the dish.  ,The dish was completed by the chef.,complete
The child completed the puzzle.  ,The puzzle was completed by the child.,complete
The group completed the task.  ,The task was completed by the group.,complete
The athlete completed the marathon.  ,The marathon was completed by the athlete.,complete
The author completed the novel.  ,The novel was completed by the author.,complete
The photographer captured the sunset.,The sunset was captured by the photographer.,capture
The soldier captured the enemy.,The enemy was captured by the soldier.,capture
The child captured a butterfly.,The butterfly was captured by the child.,capture
The team captured the championship trophy.,The championship trophy was captured by the team.,capture
The artist captured her inspiration.,The inspiration was captured by the artist.,capture
The detective captured the suspect.,The suspect was captured by the detective.,capture
The scientist captured the data.,The data was captured by the scientist.,capture
The fisherman captured the largest fish.,The largest fish was captured by the fisherman.,capture
The author captured the essence of the story.,The essence of the story was captured by the author.,capture
The firefighter rescued the cat.  ,The cat was rescued by the firefighter.,rescue
The team rescued the stranded hikers.  ,The stranded hikers were rescued by the team.,rescue
The lifeguard rescued a drowning swimmer.  ,The drowning swimmer was rescued by the lifeguard.,rescue
The organization rescued several abandoned dogs.  ,The sentence in passive voice is: Several abandoned dogs were rescued by the organization.,rescue
The police rescued the missing child.  ,The missing child was rescued by the police.,rescue
The neighbors rescued a trapped bird.  ,The trapped bird was rescued by the neighbors.,rescue
The volunteers rescued the injured rabbit.  ,The injured rabbit was rescued by the volunteers.,rescue
The coast guard rescued the lost sailor.  ,The lost sailor was rescued by the coast guard.,rescue
The paramedics rescued the victim from the wreckage.  ,The victim was rescued from the wreckage by the paramedics.,rescue
The cat ate the fish.,The fish was eaten by the cat.,eat
The child ate the cookie.,The cookie was eaten by the child.,eat
The dog ate the steak.,The steak was eaten by the dog.,eat
The chef ate his creation.,The chef's creation was eaten by the chef.,eat
The student ate the sandwich.,The sandwich was eaten by the student.,eat
The family ate dinner together.,The dinner was eaten together by the family.,eat
The bird ate the seeds.,The seeds were eaten by the bird.,eat
The toddler ate the apple.,The apple was eaten by the toddler.,eat
The athlete ate the bananas.,The bananas were eaten by the athlete.,eat
The children crushed the cans.,The cans were crushed by the children.,crush
The storm crushed the old trees.,The old trees were crushed by the storm.,crush
A team crushed the opponent's hopes.,The opponent's hopes were crushed by a team.,crush
The waiter crushed the garlic.,The garlic was crushed by the waiter.,crush
The mechanic crushed the faulty part.,The faulty part was crushed by the mechanic.,crush
The athlete crushed the competition.,The competition was crushed by the athlete.,crush
A factory crushed the metal scraps.,The metal scraps were crushed by a factory.,crush
The gardener crushed the fallen leaves.,The fallen leaves were crushed by the gardener.,crush
The horse crushed the fallen branches.,The fallen branches were crushed by the horse.,crush
The child dropped the ball.,The ball was dropped by the child.,drop
A worker dropped the package.,The package was dropped by a worker.,drop
The cat dropped the toy.,The toy was dropped by the cat.,drop
The student dropped the pen.,The pen was dropped by the student.,drop
The chef dropped the dish.,The dish was dropped by the chef.,drop
The gardener dropped the seeds.,The seeds were dropped by the gardener.,drop
The waiter dropped the glass.,The glass was dropped by the waiter.,drop
The lady dropped the keys.,The keys were dropped by the lady.,drop
The child dropped the ice cream.,The ice cream was dropped by the child.,drop
The workers hoisted the flag.,The flag was hoisted by the workers.,hoist
The team hoisted the trophy.,The trophy was hoisted by the team.,hoist
The crane hoisted the load.,The load was hoisted by the crane.,hoist
The crew hoisted the sail.,The sail was hoisted by the crew.,hoist
The men hoisted the sign.,The sign was hoisted by the men.,hoist
The technician hoisted the equipment.,The equipment was hoisted by the technician.,hoist
The soldiers hoisted the banner.,The banner was hoisted by the soldiers.,hoist
The volunteers hoisted the canvas.,The canvas was hoisted by the volunteers.,hoist
The operator hoisted the platform.,The platform was hoisted by the operator.,hoist
The child lifted the heavy box.  ,The heavy box was lifted by the child.,lift
The athlete lifted the trophy.  ,The trophy was lifted by the athlete.,lift
The worker lifted the crate.  ,The crate was lifted by the worker.,lift
The trainer lifted the weights.  ,The weights were lifted by the trainer.,lift
The robot lifted the arm.  ,The arm was lifted by the robot.,lift
The engineer lifted the blueprint.  ,The blueprint was lifted by the engineer.,lift
The musician lifted the guitar.  ,The guitar was lifted by the musician.,lift
The knight lifted the sword.  ,The sword was lifted by the knight.,lift
The student lifted the backpack.  ,The backpack was lifted by the student.,lift
The technician lowered the machine.,The machine was lowered by the technician.,lower
The teacher lowered the flag.,The flag was lowered by the teacher.,lower
The coach lowered the expectations.,The expectations were lowered by the coach.,lower
The engineer lowered the bridge.,The bridge was lowered by the engineer.,lower
The artist lowered the canvas.,The canvas was lowered by the artist.,lower
The gardener lowered the stakes.,The stakes were lowered by the gardener.,lower
The manager lowered the prices.,The prices were lowered by the manager.,lower
The parent lowered the volume.,The volume was lowered by the parent.,lower
The captain lowered the sails.,The sails were lowered by the captain.,lower
The gardener raised many flowers.  ,The flowers were raised by the gardener.,raise
The teacher raised a question.  ,The question was raised by the teacher.,raise
The children raised their hands.  ,The hands were raised by the children.,raise
A farmer raised livestock.  ,The livestock was raised by a farmer.,raise
The organization raised funds.  ,The funds were raised by the organization.,raise
The committee raised a concern.  ,The concern was raised by the committee.,raise
The artist raised the painting.  ,The painting was raised by the artist.,raise
The parents raised a toast.  ,The toast was raised by the parents.,raise
A chef raised his knife.  ,The knife was raised by a chef.,raise
The child spun the top.,The top was spun by the child.,spin
The dancer spun the partner.,The partner was spun by the dancer.,spin
The wind spun the leaves.,The leaves were spun by the wind.,spin
The artist spun the clay.,The clay was spun by the artist.,spin
The mechanic spun the wheel.,The wheel was spun by the mechanic.,spin
The chef spun the salad.,The salad was spun by the chef.,spin
The magician spun the coin.,The coin was spun by the magician.,spin
The athlete spun the discus.,The discus was spun by the athlete.,spin
The DJ spun the records.,The records were spun by the DJ.,spin
The paint splattered the wall.  ,The wall was splattered by the paint.,splatter
The mud splattered the car.  ,The car was splattered by the mud.,splatter
The rain splattered the window.  ,The window was splattered by the rain.,splatter
The sauce splattered the counter.  ,The counter was splattered by the sauce.,splatter
The watermelon splattered the floor.  ,The floor was splattered by the watermelon.,splatter
The ink splattered the paper.  ,The paper was splattered by the ink.,splatter
The mud splattered the clothes.  ,The clothes were splattered by the mud.,splatter
The juice splattered the table.  ,The table was splattered by the juice.,splatter
The food splattered the chef.  ,The chef was splattered by the food.,splatter
The child splashed the water.  ,The water was splashed by the child.,splash
The dog splashed the dirt.  ,The dirt was splashed by the dog.,splash
The wave splashed the rocks.  ,The rocks were splashed by the wave.,splash
The fisherman splashed the bait.  ,The bait was splashed by the fisherman.,splash
The rain splashed the street.  ,The street was splashed by the rain.,splash
The car splashed the puddle.  ,The puddle was splashed by the car.,splash
The bird splashed the pond.  ,The pond was splashed by the bird.,splash
The hose splashed the flowers.  ,The flowers were splashed by the hose.,splash
The athlete splashed the pool.  ,The pool was splashed by the athlete.,splash
The gardener sprayed the flowers.  ,The flowers were sprayed by the gardener.,spray
The artist sprayed some paint.  ,The paint was sprayed by the artist.,spray
The chef sprayed the oil.  ,The oil was sprayed by the chef.,spray
A worker sprayed the water.  ,The water was sprayed by a worker.,spray
The child sprayed the sidewalk.  ,The sidewalk was sprayed by the child.,spray
The technician sprayed the equipment.  ,The equipment was sprayed by the technician.,spray
The teacher sprayed the board.  ,The board was sprayed by the teacher.,spray
A developer sprayed the wall.  ,The wall was sprayed by a developer.,spray
The team sprayed the players.  ,The players were sprayed by the team.,spray
The child squirted water.,The water was squirted by the child.,squirt
The chef squirted lemon juice.,The lemon juice was squirted by the chef.,squirt
A clown squirted whipped cream.,The whipped cream was squirted by a clown.,squirt
The artist squirted paint.,The paint was squirted by the artist.,squirt
The scientist squirted liquid into a test tube.,The liquid was squirted into a test tube by the scientist.,squirt
The gardener squirted fertilizer.,The fertilizer was squirted by the gardener.,squirt
A kid squirted ketchup.,Output: Ketchup was squirted by a kid.,squirt
The worker squirted soap.,The soap was squirted by the worker.,squirt
The mechanic squirted oil.,The oil was squirted by the mechanic.,squirt
The artist covered the canvas.,The canvas was covered by the artist.,cover
The blanket covered the bed.,The bed was covered by the blanket.,cover
The leaves covered the ground.,The ground was covered by the leaves.,cover
The snow covered the street.,The street was covered by the snow.,cover
The paint covered the wall.,The wall was covered by the paint.,cover
The fog covered the valley.,The valley was covered by the fog.,cover
The tarp covered the equipment.,The equipment was covered by the tarp.,cover
The gum covered the sidewalk.,The sidewalk was covered by the gum.,cover
The plant covered the rock.,The rock was covered by the plant.,cover
The sponge soaked the water.,The water was soaked by the sponge.,soak
The shirt soaked the detergent.,The detergent was soaked by the shirt.,soak
The cloth soaked the spill.,The spill was soaked by the cloth.,soak
The gardener soaked the plants.,The plants were soaked by the gardener.,soak
The towel soaked the rain.,The rain was soaked by the towel.,soak
The cat soaked its paws.,The paws were soaked by the cat.,soak
The wood soaked the oil.,The oil was soaked by the wood.,soak
The fabric soaked the dye.,The dye was soaked by the fabric.,soak
The ground soaked the rainwater.,The rainwater was soaked by the ground.,soak
The cat trapped the mouse.  ,The mouse was trapped by the cat.,trap
The scientist trapped a rabbit.  ,The rabbit was trapped by the scientist.,trap
The farmer trapped a fox.  ,The fox was trapped by the farmer.,trap
The child trapped an insect.  ,The insect was trapped by the child.,trap
The researcher trapped the data.  ,The data was trapped by the researcher.,trap
The hunter trapped a bird.  ,The bird was trapped by the hunter.,trap
The player trapped the ball.  ,The ball was trapped by the player.,trap
The artist trapped the light.  ,The light was trapped by the artist.,trap
The trapper trapped a raccoon.  ,The raccoon was trapped by the trapper.,trap
The technician removed the old battery.,The old battery was removed by the technician.,remove
The gardener removed the weeds.,The weeds were removed by the gardener.,remove
The committee removed the outdated policy.,The outdated policy was removed by the committee.,remove
The engineer removed the faulty component.,The faulty component was removed by the engineer.,remove
The teacher removed the distractions.,The distractions were removed by the teacher.,remove
The team removed the obstacles.,The obstacles were removed by the team.,remove
The artist removed the excess paint.,The excess paint was removed by the artist.,remove
The staff removed the clutter.,The clutter was removed by the staff.,remove
The owner removed the broken sign.,The broken sign was removed by the owner.,remove
The school expelled the troublemaker.,The troublemaker was expelled by the school.,expel
The committee expelled a member.,The member was expelled by the committee.,expel
The organization expelled the suspect.,The suspect was expelled by the organization.,expel
The government expelled the diplomats.,The diplomats were expelled by the government.,expel
The team expelled the coach.,The coach was expelled by the team.,expel
The council expelled the disruptive resident.,The disruptive resident was expelled by the council.,expel
The authorities expelled the journalist.,The journalist was expelled by the authorities.,expel
The university expelled the student.,The student was expelled by the university.,expel
The club expelled an unruly member.,The unruly member was expelled by the club.,expel
The child cleaned the room.,The room was cleaned by the child.,clean
A woman cleaned the kitchen.,The kitchen was cleaned by a woman.,clean
The team cleaned the park.,The park was cleaned by the team.,clean
The maid cleaned the windows.,The windows were cleaned by the maid.,clean
The worker cleaned the floor.,The floor was cleaned by the worker.,clean
A student cleaned the desk.,The desk was cleaned by a student.,clean
The dog cleaned the bowl.,The bowl was cleaned by the dog.,clean
The chef cleaned the counter.,The counter was cleaned by the chef.,clean
The family cleaned the garage.,The garage was cleaned by the family.,clean
The child washed the car.,The car was washed by the child.,wash
The woman washed the dishes.,The dishes were washed by the woman.,wash
The gardener washed the tools.,The tools were washed by the gardener.,wash
The artist washed the brushes.,The brushes were washed by the artist.,wash
The chef washed the vegetables.,The vegetables were washed by the chef.,wash
The technician washed the equipment.,The equipment was washed by the technician.,wash
The student washed the uniform.,The uniform was washed by the student.,wash
The dog washed the paws.,The paws were washed by the dog.,wash
The family washed the clothes.,The clothes were washed by the family.,wash
The child wiped the table.  ,The table was wiped by the child.,wipe
A worker wiped the window.  ,The window was wiped by a worker.,wipe
The chef wiped the counter.  ,The counter was wiped by the chef.,wipe
The student wiped the board.  ,The board was wiped by the student.,wipe
The artist wiped the canvas.  ,The canvas was wiped by the artist.,wipe
The mother wiped the car.  ,The car was wiped by the mother.,wipe
An employee wiped the screen.  ,The screen was wiped by an employee.,wipe
The teacher wiped the chalkboard.  ,The chalkboard was wiped by the teacher.,wipe
The mechanic wiped the engine.  ,The engine was wiped by the mechanic.,wipe
The car moved the boxes.,The boxes were moved by the car.,move
The team moved the furniture.,The furniture was moved by the team.,move
The child moved the toy. ,The toy was moved by the child.,move
The truck moved the supplies.,The supplies were moved by the truck.,move
The worker moved the files.,The files were moved by the worker.,move
The dancers moved the stage.,The stage was moved by the dancers.,move
The officials moved the barriers.,The barriers were moved by the officials.,move
The students moved the desks.,The desks were moved by the students.,move
The cat moved the paper.,The paper was moved by the cat.,move
The child rolled the ball.,The ball was rolled by the child.,roll
The baker rolled the dough.,The dough was rolled by the baker.,roll
The dog rolled the blanket.,The blanket was rolled by the dog.,roll
The teacher rolled the paper.,The paper was rolled by the teacher.,roll
The athlete rolled the tire.,The tire was rolled by the athlete.,roll
The car rolled the highway.,The highway was rolled by the car.,roll
The player rolled the dice.,The dice were rolled by the player.,roll
The chef rolled the sushi.,The sushi was rolled by the chef.,roll
The artist rolled the paint.,The paint was rolled by the artist.,roll
The child slid down the slide.,The slide was slid down by the child.,slide
The car slid across the ice.,The ice was slid across by the car.,slide
The book slid off the table.,The table was slid off by the book.,slide
The girl slid her hand into the pocket.,The pocket was slid into by the girl.,slide
The paper slid under the door.,The door was slid under by the paper.,slide
The box slid to the edge of the shelf.,The edge of the shelf was slid to by the box.,slide
The dog slid through the mud.,The mud was slid through by the dog.,slide
The keys slid from the counter.,The keys were slid from the counter.,slide
The sled slid down the hill.,The hill was slid down by the sled.,slide
The woman carried a heavy load.,The heavy load was carried by the woman.,carry
The child carried the backpack.,The backpack was carried by the child.,carry
The delivery driver carried the package.,The package was carried by the delivery driver.,carry
The gardener carried the tools.,The tools were carried by the gardener.,carry
An athlete carried the trophy.,The trophy was carried by an athlete.,carry
The waiter carried the drinks.,The drinks were carried by the waiter.,carry
The soldier carried the flag.,The flag was carried by the soldier.,carry
The teacher carried the books.,The books were carried by the teacher.,carry
A friend carried the groceries.,The groceries were carried by a friend.,carry
The dog dragged the bone.  ,The bone was dragged by the dog.,drag
The child dragged the toy.  ,The toy was dragged by the child.,drag
The worker dragged the cart.  ,The cart was dragged by the worker.,drag
The athlete dragged the heavy sled.  ,The heavy sled was dragged by the athlete.,drag
The wind dragged the leaves.  ,The leaves were dragged by the wind.,drag
The student dragged the backpack.  ,The backpack was dragged by the student.,drag
The thief dragged the suitcase.  ,The suitcase was dragged by the thief.,drag
The farmer dragged the plow.  ,The plow was dragged by the farmer.,drag
The team dragged the flag.  ,The flag was dragged by the team.,drag
The child pulled the wagon.  ,The wagon was pulled by the child.,pull
The farmer pulled the weeds.  ,The weeds were pulled by the farmer.,pull
The mechanic pulled the engine.  ,The engine was pulled by the mechanic.,pull
The teacher pulled the book from the shelf.  ,The book was pulled from the shelf by the teacher.,pull
The athlete pulled the rope.  ,The rope was pulled by the athlete.,pull
The dog pulled the leash.  ,The leash was pulled by the dog.,pull
The artist pulled the canvas closer.  ,The canvas was pulled closer by the artist.,pull
The player pulled the card from the deck.  ,The card was pulled from the deck by the player.,pull
The soldier pulled the trigger.  ,The trigger was pulled by the soldier.,pull
The child pushed the door.,The door was pushed by the child.,push
A worker pushed the cart.,The cart was pushed by a worker.,push
The athlete pushed the weights.,The weights were pushed by the athlete.,push
The teacher pushed the desk.,The desk was pushed by the teacher.,push
The crowd pushed the barriers.,The barriers were pushed by the crowd.,push
A player pushed the ball.,The ball was pushed by a player.,push
The dog pushed the toy.,The toy was pushed by the dog.,push
The wind pushed the leaves.,The leaves were pushed by the wind.,push
The artist pushed the canvas.,The canvas was pushed by the artist.,push
The boy shoved the door.,The door was shoved by the boy.,shove
A player shoved the opponent.,The opponent was shoved by a player.,shove
The crowd shoved the barrier.,The barrier was shoved by the crowd.,shove
The student shoved the desk.,The desk was shoved by the student.,shove
The dog shoved the ball.,The ball was shoved by the dog.,shove
A worker shoved the cart.,The cart was shoved by a worker.,shove
The teammate shoved the rival.,The rival was shoved by the teammate.,shove
An artist shoved the canvas.,The canvas was shoved by an artist.,shove
The waiter shoved the plates.,The plates were shoved by the waiter.,shove
The cat caught a mouse.,The mouse was caught by the cat.,catch
The boy caught the ball.,The ball was caught by the boy.,catch
The fisherman caught three fish.,The three fish were caught by the fisherman.,catch
The dog caught a frisbee.,The frisbee was caught by the dog.,catch
She caught a cold.,A cold was caught by her.,catch
The trainer caught the error.,The error was caught by the trainer.,catch
The net caught the butterfly.,The butterfly was caught by the net.,catch
The player caught the pass.,The pass was caught by the player.,catch
The child caught a glimpse.,The glimpse was caught by the child.,catch
The committee chose the best candidate.,The best candidate was chosen by the committee.,choose
She chose the red dress.,The red dress was chosen by her.,choose
The team chose a new captain.,The new captain was chosen by the team.,choose
The student chose a difficult topic.,The difficult topic was chosen by the student.,choose
The artist chose vibrant colors.,The vibrant colors were chosen by the artist.,choose
The judge chose the winner.,The winner was chosen by the judge.,choose
They chose the best restaurant.,The best restaurant was chosen by them.,choose
The parents chose a name.,The name was chosen by the parents.,choose
The group chose an impressive location.,The impressive location was chosen by the group.,choose
The child found a toy.,The toy was found by the child.,find
The detective found a clue.,The clue was found by the detective.,find
The gardener found a buried treasure.,The buried treasure was found by the gardener.,find
The team found a solution.,The solution was found by the team.,find
The teacher found the answer.,The answer was found by the teacher.,find
The hiker found a lost dog.,The lost dog was found by the hiker.,find
