active,passive,verb,bad,exclude
The actor embraced the award.,The award was embraced by the actor.,embrace,,
The team embraced the challenge.,The challenge was embraced by the team.,embrace,,
The parent embraced the child.,The child was embraced by the parent.,embrace,,
The community embraced the change.,The change was embraced by the community.,embrace,,
The leader embraced the idea.,The idea was embraced by the leader.,embrace,,
The student embraced the opportunity.,The opportunity was embraced by the student.,embrace,,
The thunder frightened the children.,The children were frightened by the thunder.,frighten,,
The movie frightened the audience.,The audience was frightened by the movie.,frighten,,
The storm frightened the cats.,The cats were frightened by the storm.,frighten,,
The ghost frightened the visitors.,The visitors were frightened by the ghost.,frighten,,
The loud noise frightened the dog.,The dog was frightened by the loud noise.,frighten,,
The dark room frightened the guests.,The guests were frightened by the dark room.,frighten,,
The sudden shout frightened the bystanders.,The bystanders were frightened by the sudden shout.,frighten,,
The eerie story frightened the campers.,The campers were frightened by the eerie story.,frighten,,
The unexpected movement frightened the bird.,The bird was frightened by the unexpected movement.,frighten,,
The shadowy figure frightened the passersby.,The passersby were frightened by the shadowy figure.,frighten,,
The manager dispatched the order.,The order was dispatched by the manager.,dispatch,,
The team dispatched the package.,The package was dispatched by the team.,dispatch,,
The company dispatched a technician.,The technician was dispatched by the company.,dispatch,,
The agency dispatched the files.,The files were dispatched by the agency.,dispatch,,
The director dispatched the memo.,The memo was dispatched by the director.,dispatch,,
The courier dispatched the documents.,The documents were dispatched by the courier.,dispatch,,
The office dispatched an announcement.,The announcement was dispatched by the office.,dispatch,,
The service dispatched a replacement.,The replacement was dispatched by the service.,dispatch,,
The organization dispatched the volunteers.,The volunteers were dispatched by the organization.,dispatch,,
The school dispatched an invitation.,The invitation was dispatched by the school.,dispatch,,
The fire suffocated the small bird.,The small bird was suffocated by the fire.,suffocate,,
The smoke suffocated the trapped people.,The trapped people were suffocated by the smoke.,suffocate,,
The plastic bag suffocated the puppy.,The puppy was suffocated by the plastic bag.,suffocate,,
The fumes suffocated the insects.,The insects were suffocated by the fumes.,suffocate,,
The heat suffocated the trapped fish.,The trapped fish was suffocated by the heat.,suffocate,,
The blanket suffocated the tiny kitten.,The tiny kitten was suffocated by the blanket.,suffocate,,
The avalanche suffocated the climbers.,The climbers were suffocated by the avalanche.,suffocate,,
The water suffocated the drowning victim.,The drowning victim was suffocated by the water.,suffocate,,
The storm threatened the village.,The village was threatened by the storm.,threaten,,
The manager threatened the employee.,The employee was threatened by the manager.,threaten,,
The bear threatened the hikers.,The hikers were threatened by the bear.,threaten,,
The rival gang threatened the business.,The business was threatened by the rival gang.,threaten,,
The news report threatened public trust.,The public trust was threatened by the news report.,threaten,,
The dream threatened his peace.,The peace was threatened by the dream.,threaten,,
The loud noise threatened the meeting.,The meeting was threatened by the loud noise.,threaten,,
The invasion threatened the borders.,The borders were threatened by the invasion.,threaten,,
The bully threatened the smaller kids.,The smaller kids were threatened by the bully.,threaten,,
The advertisement threatened traditional values.,The traditional values were threatened by the advertisement.,threaten,,
The teacher instructed the students.  ,The students were instructed by the teacher.,instruct,,
The coach instructed the players.  ,The players were instructed by the coach.,instruct,,
The manager instructed the team.  ,The team was instructed by the manager.,instruct,,
The professor instructed the class.  ,The class was instructed by the professor.,instruct,,
The guide instructed the tourists.  ,The tourists were instructed by the guide.,instruct,,
The parent instructed the child.  ,The child was instructed by the parent.,instruct,,
The supervisor instructed the workers.  ,The workers were instructed by the supervisor.,instruct,,
The mentor instructed the apprentice.  ,The apprentice was instructed by the mentor.,instruct,,
The director instructed the actors.  ,The actors were instructed by the director.,instruct,,
The trainer instructed the participants.  ,The participants were instructed by the trainer.,instruct,,
The family visited the museum.,The museum was visited by the family.,visit,,
The friends visited the park.,The park was visited by the friends.,visit,,
The teacher visited the classroom.,The classroom was visited by the teacher.,visit,,
The artist visited the gallery.,The gallery was visited by the artist.,visit,,
The team visited the stadium.,The stadium was visited by the team.,visit,,
The author visited the bookstore.,The bookstore was visited by the author.,visit,,
The tourists visited the city.,The city was visited by the tourists.,visit,,
The neighbors visited the house.,The house was visited by the neighbors.,visit,,
The doctor visited the patient.,The patient was visited by the doctor.,visit,,
The students visited the library.,The library was visited by the students.,visit,,
The loud noise terrified the children.,The children were terrified by the loud noise.,terrify,,
The movie terrified the audience.,The audience was terrified by the movie.,terrify,,
The storm terrified the campers.,The campers were terrified by the storm.,terrify,,
The ghost story terrified the group.,The group was terrified by the ghost story.,terrify,,
The sudden crash terrified the pedestrians.,The pedestrians were terrified by the sudden crash.,terrify,,
The darkness terrified the explorer.,The explorer was terrified by the darkness.,terrify,,
The unexpected shout terrified the cat.,The cat was terrified by the unexpected shout.,terrify,,
The documentary terrified the viewers.,The viewers were terrified by the documentary.,terrify,,
The horror film terrified the guests.,The guests were terrified by the horror film.,terrify,,
The thunderstorm terrified the dog.,The dog was terrified by the thunderstorm.,terrify,,
The magic trick amazed the audience.  ,The audience was amazed by the magic trick.,amaze,,
The news amazed the entire team.  ,The entire team was amazed by the news.,amaze,,
The painting amazed the visitors.  ,The visitors were amazed by the painting.,amaze,,
The performance amazed the judges.  ,The judges were amazed by the performance.,amaze,,
The story amazed the children.  ,The children were amazed by the story.,amaze,,
The invention amazed the scientists.  ,The scientists were amazed by the invention.,amaze,,
The discovery amazed the researchers.  ,The researchers were amazed by the discovery.,amaze,,
The film amazed the critics.  ,The critics were amazed by the film.,amaze,,
The scenery amazed the tourists.  ,The tourists were amazed by the scenery.,amaze,,
The talent amazed the talent scouts.  ,The talent scouts were amazed by the talent.,amaze,,
The cat terrorized the bird.,The bird was terrorized by the cat.,terrorize,,
The bully terrorized the playground.,The playground was terrorized by the bully.,terrorize,,
A storm terrorized the coastal town.,The coastal town was terrorized by a storm.,terrorize,,
The villain terrorized the city.,The city was terrorized by the villain.,terrorize,,
Children terrorized the unsuspecting neighbor.,The unsuspecting neighbor was terrorized by the children.,terrorize,,
The loud noises terrorized the puppy.,The puppy was terrorized by the loud noises.,terrorize,,
The prankster terrorized the group.,The group was terrorized by the prankster.,terrorize,,
The movie terrorized the audience.,The audience was terrorized by the movie.,terrorize,,
The news report terrorized the viewers.,The viewers were terrorized by the news report.,terrorize,,
The ghost terrorized the family.,The family was terrorized by the ghost.,terrorize,,
The loud noise startled the bird.,The bird was startled by the loud noise.,startle,,
The sudden movement startled the cat.,The cat was startled by the sudden movement.,startle,,
The flash from the camera startled the child.,The child was startled by the flash from the camera.,startle,,
The unexpected touch startled the dog.,The dog was startled by the unexpected touch.,startle,,
The thunderstorm startled the horses.,The horses were startled by the thunderstorm.,startle,,
The crowd's cheer startled the player.,The player was startled by the crowd's cheer.,startle,,
The firework display startled the audience.,The audience was startled by the firework display.,startle,,
The appearance of the clown startled the guests.,The guests were startled by the appearance of the clown.,startle,,
The opening of the door startled the visitor.,The visitor was startled by the opening of the door.,startle,,
The bright light startled the driver.,The driver was startled by the bright light.,startle,,
The artist admired the sculpture.,The sculpture was admired by the artist.,admire,,
The crowd admired the performance.,The performance was admired by the crowd.,admire,,
The critics admired the painting.,The painting was admired by the critics.,admire,,
A child admired the kitten.,The kitten was admired by a child.,admire,,
The teacher admired the student's work.,The student's work was admired by the teacher.,admire,,
The judge admired the athlete's skills.,The athlete's skills were admired by the judge.,admire,,
The visitors admired the architecture.,The architecture was admired by the visitors.,admire,,
The audience admired the singer's talent.,The singer's talent was admired by the audience.,admire,,
The photographer admired the landscape.,The landscape was admired by the photographer.,admire,,
The friends admired the view from the hill.,The view from the hill was admired by the friends.,admire,,
The clown amused the children.  ,The children were amused by the clown.,amuse,,
The movie amused the audience.  ,The audience was amused by the movie.,amuse,,
The comedian amused the crowd.  ,The crowd was amused by the comedian.,amuse,,
The story amused the readers.  ,The readers were amused by the story.,amuse,,
The game amused the players.  ,The players were amused by the game.,amuse,,
The joke amused the guests.  ,The guests were amused by the joke.,amuse,,
The performance amused the spectators.  ,The spectators were amused by the performance.,amuse,,
The antics amused the onlookers.  ,The onlookers were amused by the antics.,amuse,,
The puzzle amused the participants.  ,The participants were amused by the puzzle.,amuse,,
The magician amused the viewers.  ,The viewers were amused by the magician.,amuse,,
The team met the coach.  ,The coach was met by the team.,meet,,
The students met their new teacher.  ,The new teacher was met by the students.,meet,,
The couple met their friends.  ,The friends were met by the couple.,meet,,
The group met the director.  ,The director was met by the group.,meet,,
The travelers met a local guide.  ,The local guide was met by the travelers.,meet,,
The children met the astronaut.  ,The astronaut was met by the children.,meet,,
The volunteers met the organizer.  ,The organizer was met by the volunteers.,meet,,
The scientists met the researcher.  ,The researcher was met by the scientists.,meet,,
The artists met an influential critic.  ,The influential critic was met by the artists.,meet,,
The neighbors met the new residents.  ,The new residents were met by the neighbors.,meet,,
The explorer deserted the camp.,The camp was deserted by the explorer.,desert,,
The soldiers deserted their posts.,The posts were deserted by the soldiers.,desert,,
The team deserted the game.,The game was deserted by the team.,desert,,
The athlete deserted the competition.,The competition was deserted by the athlete.,desert,,
The friend deserted the mission.,The mission was deserted by the friend.,desert,,
The captain deserted the ship.,The ship was deserted by the captain.,desert,,
The student deserted the classroom.,The classroom was deserted by the student.,desert,,
The worker deserted the job.,The job was deserted by the worker.,desert,,
The artist deserted the project.,The project was deserted by the artist.,desert,,
The dog deserted the owner.,The owner was deserted by the dog.,desert,,
The woman rang the bell.,The bell was rung by the woman.,ring,,
The scientist rang the warning bell.,The warning bell was rung by the scientist.,ring,,
The firefighter rang the alarm.,The alarm was rung by the firefighter.,ring,,
The musician rang the triangle.,The triangle was rung by the musician.,ring,,
The teacher rang the chime.  ,The chime was rung by the teacher.,ring,,
The musician accompanied the singer.  ,The singer was accompanied by the musician.,accompany,,
The teacher accompanied the students.  ,The students were accompanied by the teacher.,accompany,,
The guide accompanied the tourists.  ,The tourists were accompanied by the guide.,accompany,,
The friend accompanied the child.  ,The child was accompanied by the friend.,accompany,,
The dog accompanied the owner.  ,The owner was accompanied by the dog.,accompany,,
The doctor accompanied the patient.  ,The patient was accompanied by the doctor.,accompany,,
The coach accompanied the team.  ,The team was accompanied by the coach.,accompany,,
The partner accompanied the client.  ,The client was accompanied by the partner.,accompany,,
The parent accompanied the child.  ,The child was accompanied by the parent.,accompany,,
The sibling accompanied the family.  ,The family was accompanied by the sibling.,accompany,,
The news infuriated the crowd.  ,The crowd was infuriated by the news.,infuriate,,
The comment infuriated the speaker.  ,The speaker was infuriated by the comment.,infuriate,,
The delay infuriated the passengers.  ,The passengers were infuriated by the delay.,infuriate,,
The prank infuriated the teacher.  ,The teacher was infuriated by the prank.,infuriate,,
The decision infuriated the team.  ,The team was infuriated by the decision.,infuriate,,
The criticism infuriated the artist.  ,The artist was infuriated by the criticism.,infuriate,,
The noise infuriated the neighbors.  ,The neighbors were infuriated by the noise.,infuriate,,
The mistake infuriated the manager.  ,The manager was infuriated by the mistake.,infuriate,,
The storm infuriated the campers.  ,The campers were infuriated by the storm.,infuriate,,
The result infuriated the fans.  ,The fans were infuriated by the result.,infuriate,,
The news upset the students.,The students were upset by the news.,upset,,
The comment upset the teacher.,The teacher was upset by the comment.,upset,,
A storm upset the picnic.,The picnic was upset by a storm.,upset,,
The movie upset the audience.,The audience was upset by the movie.,upset,,
The delay upset the travelers.,The travelers were upset by the delay.,upset,,
The argument upset the family.,The family was upset by the argument.,upset,,
The change upset the employees.,The employees were upset by the change.,upset,,
The joke upset the guests.,The guests were upset by the joke.,upset,,
The criticism upset the author.,The author was upset by the criticism.,upset,,
The incident upset the community.,The community was upset by the incident.,upset,,
The news sickened the audience.,The audience was sickened by the news.,sicken,,
The spoiled milk sickened the children.,The children were sickened by the spoiled milk.,sicken,,
The rumors sickened the community.,The community was sickened by the rumors.,sicken,,
The flu virus sickened many people.,The flu virus was responsible for many people being sickened.,sicken,,
The graphic images sickened the viewers.,The viewers were sickened by the graphic images.,sicken,,
The bad air quality sickened the residents.,The residents were sickened by the bad air quality.,sicken,,
The foul smell sickened the guests.,The guests were sickened by the foul smell.,sicken,,
The intense heat sickened the athletes.,The athletes were sickened by the intense heat.,sicken,,
The cruel behavior sickened the onlookers.,The onlookers were sickened by the cruel behavior.,sicken,,
The teacher overheard a conversation.  ,The conversation was overheard by the teacher.,overhear,,
The detective overheard a secret.  ,The secret was overheard by the detective.,overhear,,
The journalist overheard the discussion.  ,The discussion was overheard by the journalist.,overhear,,
The child overheard the adults.  ,The adults were overheard by the child.,overhear,,
The neighbor overheard the commotion.  ,The commotion was overheard by the neighbor.,overhear,,
The friend overheard the argument.  ,The argument was overheard by the friend.,overhear,,
The student overheard the announcement.  ,The announcement was overheard by the student.,overhear,,
The chef overheard the customer's request.  ,The customer's request was overheard by the chef.,overhear,,
The librarian overheard the questions.  ,The questions were overheard by the librarian.,overhear,,
The soldier stabbed the enemy.,The enemy was stabbed by the soldier.,stab,,
A thief stabbed the victim.,The victim was stabbed by a thief.,stab,,
The chef stabbed the fish.,The fish was stabbed by the chef.,stab,,
The assassin stabbed the target.,The target was stabbed by the assassin.,stab,,
The attacker stabbed the defender.,The defender was stabbed by the attacker.,stab,,
The enemy stabbed the hero.,The hero was stabbed by the enemy.,stab,,
The warrior stabbed the beast.,The beast was stabbed by the warrior.,stab,,
The chef foamed the milk.  ,The milk was frothed by the chef.,foam,,
The scientist foamed the liquid.  ,The liquid was foamed by the scientist.,foam,,
The friends foamed the cream.,The cream was foamed by the friends.,foam,,
The barista foamed the coffee.  ,The coffee was fomed by the barista.,foam,,
The child foamed the soap.,The soap was foamed by the child.,foam,,
The committee executed the plan.  ,The plan was executed by the committee.,execute,,
The judge executed the sentence.  ,The sentence was executed by the judge.,execute,,
The artist executed the sculpture.  ,The sculpture was executed by the artist.,execute,,
The team executed the strategy.  ,The strategy was executed by the team.,execute,,
The manager executed the project.  ,The project was executed by the manager.,execute,,
The chef executed the recipe.  ,The recipe was executed by the chef.,execute,,
The programmer executed the code.  ,The code was executed by the programmer.,execute,,
The director executed the vision.  ,The vision was executed by the director.,execute,,
The soldiers executed the mission.  ,The mission was executed by the soldiers.,execute,,
The builder executed the design.  ,The design was executed by the builder.,execute,,
A child watched a movie.,The movie was watched by a child.,watch,,
The teacher watched the students.,The students were watched by the teacher.,watch,,
The couple watched the fireworks.,The fireworks were watched by the couple.,watch,,
The dog watched the squirrel.,The squirrel was watched by the dog.,watch,,
The group watched a play.,The play was watched by the group.,watch,,
The audience watched the performance.,The performance was watched by the audience.,watch,,
The teacher ignored the student's question.,The student's question was ignored by the teacher.,ignore,,
The dog ignored the ball.,The ball was ignored by the dog.,ignore,,
The crowd ignored the protest signs.,The protest signs were ignored by the crowd.,ignore,,
The cat ignored its reflection.,The reflection was ignored by the cat.,ignore,,
The manager ignored the complaints.,The complaints were ignored by the manager.,ignore,,
The children ignored the warning.,The warning was ignored by the children.,ignore,,
The audience ignored the speaker.,The speaker was ignored by the audience.,ignore,,
The driver ignored the traffic signals.,The traffic signals were ignored by the driver.,ignore,,
The artist ignored the critic's review.,The critic's review was ignored by the artist.,ignore,,
The prince courted the princess.,The princess was courted by the prince.,court,,
The gentleman courted a woman.,The woman was courted by the gentleman.,court,,
The artist courted public attention.,The public attention was courted by the artist.,court,,
The lawyer courted the favor of the judge.,The favor of the judge was courted by the lawyer.,court,,
The suitor courted the young heiress.,The young heiress was courted by the suitor.,court,,
The writer courted controversy.,The controversy was courted by the writer.,court,,
The team courted danger.,The danger was courted by the team.,court,,
The politician courted votes.,Votes were courted by the politician.,court,,
The actor courted the media's interest.,The media's interest was courted by the actor.,court,,
The stylist groomed the dog.,The dog was groomed by the stylist.,groom,,
The farmer groomed the horses.,The horses were groomed by the farmer.,groom,,
The zookeeper groomed the lion.,The lion was groomed by the zookeeper.,groom,,
The artist groomed the canvas.,The canvas was groomed by the artist.,groom,,
The trainer groomed the athlete.,The athlete was groomed by the trainer.,groom,,
A friend groomed the garden.,The garden was groomed by a friend.,groom,,
The caretaker groomed the plants.,The plants were groomed by the caretaker.,groom,,
The owner groomed the cat.,The cat was groomed by the owner.,groom,,
The player dribbled the basketball.,The basketball was dribbled by the player.,dribble,,
The child dribbled the soccer ball.,The soccer ball was dribbled by the child.,dribble,,
The athlete dribbled the tennis ball.,The tennis ball was dribbled by the athlete.,dribble,,
The coach dribbled the water bottle.,The water bottle was dribbled by the coach.,dribble,,
The robot dribbled the rubber ball.,The rubber ball was dribbled by the robot.,dribble,,
The magician impressed the audience.  ,The audience was impressed by the magician.,impress,,
The teacher impressed the students.  ,The students were impressed by the teacher.,impress,,
The artist impressed the critics.  ,The critics were impressed by the artist.,impress,,
The speech impressed the crowd.  ,The crowd was impressed by the speech.,impress,,
The painting impressed the gallery owner.  ,The gallery owner was impressed by the painting.,impress,,
The athlete impressed the coaches.  ,The coaches were impressed by the athlete.,impress,,
The presentation impressed the judges.  ,The judges were impressed by the presentation.,impress,,
The movie impressed the film critics.  ,The film critics were impressed by the movie.,impress,,
The gesture impressed the guests.  ,The guests were impressed by the gesture.,impress,,
The teacher helped the students.,The students were helped by the teacher.,help,,
A friend helped the neighbor.,The neighbor was helped by a friend.,help,,
The volunteers helped the community.,The community was helped by the volunteers.,help,,
A mechanic helped the driver.,The driver was helped by a mechanic.,help,,
The coach helped the team.,The team was helped by the coach.,help,,
The guide helped the tourists.,The tourists were helped by the guide.,help,,
An expert helped the company.,The company was helped by an expert.,help,,
The doctor helped the patient.,The patient was helped by the doctor.,help,,
The parent helped the child.,The child was helped by the parent.,help,,
The thunder scared the children.,The children were scared by the thunder.,scare,,
A movie scared the audience.,The audience was scared by a movie.,scare,,
The storm scared the dog.,The dog was scared by the storm.,scare,,
The clown scared the kids.,The kids were scared by the clown.,scare,,
A loud noise scared the cat.,The cat was scared by a loud noise.,scare,,
The ghost scared the visitors.,The visitors were scared by the ghost.,scare,,
The roller coaster scared the riders.,The riders were scared by the roller coaster.,scare,,
A sudden movement scared the bird.,The bird was scared by a sudden movement.,scare,,
The haunted house scared the guests.,The guests were scared by the haunted house.,scare,,
The dark alley scared the tourists.,The tourists were scared by the dark alley.,scare,,
The child adored the puppy.,The puppy was adored by the child.,adore,,
The teacher adored her students.,The students were adored by the teacher.,adore,,
The couple adored their new home.,The new home was adored by the couple.,adore,,
The mother adored her baby.,The baby was adored by the mother.,adore,,
The critic adored the film.,The film was adored by the critic.,adore,,
The family adored the holiday.,The holiday was adored by the family.,adore,,
The friend adored the surprise party.,The surprise party was adored by the friend.,adore,,
The singer adored the applause.,The applause was adored by the singer.,adore,,
The gardener adored the flowers.,The flowers were adored by the gardener.,adore,,
The loud noise disturbed the meeting.,The meeting was disturbed by the loud noise.,disturb,,
The cat disturbed the sleeping dog.,The sleeping dog was disturbed by the cat.,disturb,,
The storm disturbed the quiet night.,The quiet night was disturbed by the storm.,disturb,,
The child disturbed the classroom.,The classroom was disturbed by the child.,disturb,,
The ringing phone disturbed the movie.,The movie was disturbed by the ringing phone.,disturb,,
The construction work disturbed the neighbors.,The neighbors were disturbed by the construction work.,disturb,,
The sudden movement disturbed the birds.,The birds were disturbed by the sudden movement.,disturb,,
The announcement disturbed everyone's focus.,The focus was disturbed by the announcement.,disturb,,
The unexpected visit disturbed the preparations.,The preparations were disturbed by the unexpected visit.,disturb,,
The prank disturbed the peaceful gathering.,The peaceful gathering was disturbed by the prank.,disturb,,
The child remembered the song.,The song was remembered by the child.,remember,,
The teacher remembered the lesson.,The lesson was remembered by the teacher.,remember,,
The woman remembered the meeting.,The meeting was remembered by the woman.,remember,,
The athlete remembered the training.,The training was remembered by the athlete.,remember,,
The architect remembered the design.,The design was remembered by the architect.,remember,,
The author remembered the plot.,The plot was remembered by the author.,remember,,
The chef remembered the recipe.,The recipe was remembered by the chef.,remember,,
The student remembered the assignment.,The assignment was remembered by the student.,remember,,
The parent remembered the birthday.,The birthday was remembered by the parent.,remember,,
The historian remembered the event.,The event was remembered by the historian.,remember,,
The cat cuddled the blanket.,The blanket was cuddled by the cat.,cuddle,,
The child cuddled the teddy bear.,The teddy bear was cuddled by the child.,cuddle,,
The dog cuddled the owner.,The owner was cuddled by the dog.,cuddle,,
The rabbit cuddled the carrot.,The carrot was cuddled by the rabbit.,cuddle,,
The kitten cuddled the puppy.,The puppy was cuddled by the kitten.,cuddle,,
The girl cuddled her doll.,The doll was cuddled by the girl.,cuddle,,
The boy cuddled the pillow.,The pillow was cuddled by the boy.,cuddle,,
The friends cuddled a baby.,The baby was cuddled by the friends.,cuddle,,
The grandmother cuddled her grandchild.,The grandchild was cuddled by the grandmother.,cuddle,,
The storm worried the townspeople.  ,The townspeople were worried by the storm.,worry,,
The news worried the parents.  ,The parents were worried by the news.,worry,,
The deadline worried the students.  ,The students were worried by the deadline.,worry,,
The performance worried the director.  ,The director was worried by the performance.,worry,,
The situation worried the committee.  ,The committee was worried by the situation.,worry,,
The uncertainty worried the investors.  ,The investors were worried by the uncertainty.,worry,,
The test results worried the teacher.  ,The teacher was worried by the test results.,worry,,
The incident worried the community.  ,The community was worried by the incident.,worry,,
The report worried the officials.  ,The officials were worried by the report.,worry,,
The forecast worried the farmers.  ,The farmers were worried by the forecast.,worry,,
The mother calmed the baby.  ,The baby was calmed by the mother.,calm,,
The teacher calmed the students.  ,The students were calmed by the teacher.,calm,,
The therapist calmed the anxious patient.  ,The anxious patient was calmed by the therapist.,calm,,
A friend calmed the upset dog.  ,The upset dog was calmed by a friend.,calm,,
The music calmed the crowd.  ,The crowd was calmed by the music.,calm,,
The coach calmed the nervous player.  ,The nervous player was calmed by the coach.,calm,,
The rain calmed the noisy environment.  ,The noisy environment was calmed by the rain.,calm,,
The book calmed the restless mind.  ,The restless mind was calmed by the book.,calm,,
The counselor calmed the troubled teen.  ,The troubled teen was calmed by the counselor.,calm,,
The aroma calmed the stressed chef.  ,The stressed chef was calmed by the aroma.,calm,,
The meeting took three hours.,Three hours were taken by the meeting.,"take (i.e., carry on for a certiain length of time)",,
The journey took a day.,A day was taken by the journey.,"take (i.e., carry on for a certiain length of time)",,
The hike took five hours.,Five hours were taken by the hike.,"take (i.e., carry on for a certiain length of time)",,
The speech took ten minutes.,Ten minutes were taken by the speech.,"take (i.e., carry on for a certiain length of time)",,
The deliberation took three days.,Three days were taken by the deliberation.,"take (i.e., carry on for a certiain length of time)",,
The story fascinated the children.,The children were fascinated by the story.,fascinate,,
The magician fascinated the audience.,The audience was fascinated by the magician.,fascinate,,
The documentary fascinated the scientist.,The scientist was fascinated by the documentary.,fascinate,,
The painting fascinated the art critic.,The art critic was fascinated by the painting.,fascinate,,
The new gadget fascinated the engineers.,The engineers were fascinated by the new gadget.,fascinate,,
The lecture fascinated the students.,The students were fascinated by the lecture.,fascinate,,
The history book fascinated the reader.,The reader was fascinated by the history book.,fascinate,,
The performance fascinated the crowd.,The crowd was fascinated by the performance.,fascinate,,
The experiment fascinated the researchers.,The researchers were fascinated by the experiment.,fascinate,,
The puzzle fascinated the mathematician.,The mathematician was fascinated by the puzzle.,fascinate,,
The washing machine shrank the sweater.,The sweater was shrunk by the washing machine.,shrink,,
The machine shrank the sample,The sample was shrunk by the machine.,shrink,,
The dryer shrank the fabric.,The fabric was shrunk by the dryer.,shrink,,
The technician shrank the picture.,The picture was shrunk by the technician.,shrink,,
The heat shrank the plastic.,The plastic was shrunk by the heat.,shrink,,
,,,,
,,,,
,,,,
,,,,
,,,,
The child abandoned the toy.  ,The toy was abandoned by the child.,abandon,,
The team abandoned their plans.  ,The plans were abandoned by the team.,abandon,,
The owner abandoned the house.  ,The house was abandoned by the owner.,abandon,,
The soldier abandoned the mission.  ,The mission was abandoned by the soldier.,abandon,,
The cat abandoned its kittens.  ,The kittens were abandoned by the cat.,abandon,,
The artist abandoned the painting.  ,The painting was abandoned by the artist.,abandon,,
The hikers abandoned the trail.  ,The trail was abandoned by the hikers.,abandon,,
The dog abandoned the chase.  ,The chase was abandoned by the dog.,abandon,,
The workers abandoned the project.  ,The project was abandoned by the workers.,abandon,,
The family abandoned their vehicle.  ,The vehicle was abandoned by the family.,abandon,,
The scientist observed the behavior.,The behavior was observed by the scientist.,observe,,
The children observed the butterflies.,The butterflies were observed by the children.,observe,,
The teacher observed the students.,The students were observed by the teacher.,observe,,
The photographer observed the sunrise.,The sunrise was observed by the photographer.,observe,,
The detective observed the scene.,The scene was observed by the detective.,observe,,
The audience observed the performance.,The performance was observed by the audience.,observe,,
The researcher observed the data.,The data was observed by the researcher.,observe,,
The gardener observed the plants.,The plants were observed by the gardener.,observe,,
The coach observed the players.,The players were observed by the coach.,observe,,
The doctor observed the symptoms.,The symptoms were observed by the doctor.,observe,,
The teacher called the students.,The students were called by the teacher.,call,,
A friend called the doctor.,The doctor was called by a friend.,call,,
The manager called a meeting.,The meeting was called by the manager.,call,,
The child called the dog.,The dog was called by the child.,call,,
The assistant called the client.,The client was called by the assistant.,call,,
The team called a timeout.,The timeout was called by the team.,call,,
The coach called the play.,The play was called by the coach.,call,,
The loud noise bothered the neighbor.,The neighbor was bothered by the loud noise.,bother,,
The dog bothered the cat.,The cat was bothered by the dog.,bother,,
An opinion bothered the committee.,The committee was bothered by an opinion.,bother,,
The rain bothered the campers.,The campers were bothered by the rain.,bother,,
The delay bothered the passengers.,The passengers were bothered by the delay.,bother,,
The question bothered the student.,The student was bothered by the question.,bother,,
The comment bothered the speaker.,The speaker was bothered by the comment.,bother,,
The smell bothered the diners.,The diners were bothered by the smell.,bother,,
The incident bothered the witnesses.,The witnesses were bothered by the incident.,bother,,
A rumor bothered the community.,The community was bothered by a rumor.,bother,,
The guide led the group.,The group was led by the guide.,lead,,
The teacher led the discussion.,The discussion was led by the teacher.,lead,,
The politician led the campaign.,The campaign was led by the politician.,lead,,
The manager led the meeting.,The meeting was led by the manager.,lead,,
The coach led the team.,The team was led by the coach.,lead,,
The conductor led the orchestra.,The orchestra was led by the conductor.,lead,,
The artist led the workshop.,The workshop was led by the artist.,lead,,
The parent led the children.,The children were led by the parent.,lead,,
The officer led the patrol.,The patrol was led by the officer.,lead,,
The scientist led the research.,The research was led by the scientist.,lead,,
The athlete sweated during the marathon.,The marathon was sweated through by the athlete.,sweat,,
The worker sweated in the hot sun.,The hot sun was sweated in by the worker.,sweat,,
The child sweated after playing basketball.,The child was sweated after playing basketball.,sweat,,
The runner sweated on the track.,The track was sweated on by the runner.,sweat,,
The team sweated through the intense practice.,The intense practice was sweated through by the team.,sweat,,
The dancers sweated during the performance.,The performance was sweated through by the dancers.,sweat,,
The chef sweated over the hot stove.,The hot stove was sweated over by the chef.,sweat,,
The hiker sweated on the steep trail.,The steep trail was sweated on by the hiker.,sweat,,
The soldier sweated during the training exercise.,The training exercise was sweated through by the soldier.,sweat,,
The magician wowed the audience.,The audience was wowed by the magician.,wow,,
The performance wowed the spectators.,The spectators were wowed by the performance.,wow,,
The fireworks wowed the crowd.,The crowd was wowed by the fireworks.,wow,,
The presentation wowed the judges.,The judges were wowed by the presentation.,wow,,
The painting wowed the visitors.,The visitors were wowed by the painting.,wow,,
The athlete wowed the fans.,The fans were wowed by the athlete.,wow,,
The news wowed the listeners.,The listeners were wowed by the news.,wow,,
The stunt wowed the onlookers.,The onlookers were wowed by the stunt.,wow,,
The movie wowed the critics.,The critics were wowed by the movie.,wow,,
The concert wowed the attendees.,The attendees were wowed by the concert.,wow,,
The movie disgusted the audience.  ,The audience was disgusted by the movie.,disgust,,
The smell disgusted the children.  ,The children were disgusted by the smell.,disgust,,
The news disgusted the viewers.  ,The viewers were disgusted by the news.,disgust,,
The behavior disgusted the guests.  ,The guests were disgusted by the behavior.,disgust,,
The meal disgusted the critics.  ,The critics were disgusted by the meal.,disgust,,
The incident disgusted the staff.  ,The staff was disgusted by the incident.,disgust,,
The article disgusted the readers.  ,The readers were disgusted by the article.,disgust,,
The presentation disgusted the participants.  ,The participants were disgusted by the presentation.,disgust,,
