active,passive,verb,bad,exclude,match,content_match,parse_match,Vtypefull,Vtype,VtypeNEW,Verb,Vno,Passivizable,Participle,CoreSet,CountTot,CountTrans,CountInt,CountPass,CountPeri,CountOther,A_cause_B_change,A_enable,A_doingsomething_B,A_responsible,A_physical_contact,B_state_change,B_responsible,A_deliberately_V_B,B_affected,B_adversely_affected,FACA,FACB,FACC
the chef drank a cup of coffee.,a cup of coffee was drunk by the chef.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the girl drank a smoothie.,a smoothie was drunk by the girl.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the athlete drank a protein shake.,a protein shake was drunk by the athlete.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the teacher drank iced tea.,iced tea was drunk by the teacher.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the waiter drank soda.,soda was drunk by the waiter.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the scientist drank a sample.,a sample was drunk by the scientist.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the artist drank paint water.,paint water was drunk by the artist.,drink,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,drink,V108,Y,PART,N,6842,4040.0,1489.0,4,4.0,1119.0,7.3,6.5,6.8,7.3,7.5,6.8,2.5,7.3,6.5,4.0,0.4574,-1.26299,-1.0997
the dog chewed a bone.,a bone was chewed by the dog.,chew,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,chew,V109,Y,REG,N,913,,,0,,,7.0,7.8,7.5,7.7,7.4,7.4,4.1,7.1,7.1,6.3,0.85891,-0.11637,0.25148
the student chewed a pencil.,a pencil was chewed by the student.,chew,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,chew,V109,Y,REG,N,913,,,0,,,7.0,7.8,7.5,7.7,7.4,7.4,4.1,7.1,7.1,6.3,0.85891,-0.11637,0.25148
the rabbit chewed some carrots.,some carrots were chewed by the rabbit.,chew,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,chew,V109,Y,REG,N,913,,,0,,,7.0,7.8,7.5,7.7,7.4,7.4,4.1,7.1,7.1,6.3,0.85891,-0.11637,0.25148
the child sucked his thumb.,his thumb was sucked by the child.,suck,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,suck,V114,Y,REG,N,1455,,,0,,,7.3,7.5,7.3,7.1,8.5,6.7,3.6,7.3,6.4,4.9,0.638,-0.61455,-0.39341
the baby sucked a bottle.,a bottle was sucked by the baby.,suck,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,suck,V114,Y,REG,N,1455,,,0,,,7.3,7.5,7.3,7.1,8.5,6.7,3.6,7.3,6.4,4.9,0.638,-0.61455,-0.39341
the chef consumed a hearty meal.,a hearty meal was consumed by the chef.,consume,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,consume,V118,Y,REG,N,1864,,,51,,,7.1,7.2,8.3,7.6,7.5,8.0,3.9,7.7,7.2,5.3,0.95552,-0.06985,0.06753
the athlete consumed a protein shake.,a protein shake was consumed by the athlete.,consume,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,consume,V118,Y,REG,N,1864,,,51,,,7.1,7.2,8.3,7.6,7.5,8.0,3.9,7.7,7.2,5.3,0.95552,-0.06985,0.06753
the toddler consumed a bowl of cereal.,a bowl of cereal was consumed by the toddler.,consume,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,consume,V118,Y,REG,N,1864,,,51,,,7.1,7.2,8.3,7.6,7.5,8.0,3.9,7.7,7.2,5.3,0.95552,-0.06985,0.06753
the lion devoured a gazelle.,a gazelle was devoured by the lion.,devour,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,devour,V119,Y,REG,N,368,,,14,,,7.8,8.1,8.1,7.7,7.4,8.5,3.0,7.6,7.6,6.9,1.37009,-0.65803,-0.19591
the athlete devoured a protein bar.,a protein bar was devoured by the athlete.,devour,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,devour,V119,Y,REG,N,368,,,14,,,7.8,8.1,8.1,7.7,7.4,8.5,3.0,7.6,7.6,6.9,1.37009,-0.65803,-0.19591
the workers demolished an old building.,an old building was demolished by the workers.,demolish,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,demolish,V120,Y,REG,N,984,346.0,2.0,12,0.0,598.0,7.9,8.8,8.1,8.5,7.4,8.8,2.5,8.5,8.4,8.6,1.9109,-0.32493,-0.5321
the storm demolished several homes.,several homes were demolished by the storm.,demolish,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,demolish,V120,Y,REG,N,984,346.0,2.0,12,0.0,598.0,7.9,8.8,8.1,8.5,7.4,8.8,2.5,8.5,8.4,8.6,1.9109,-0.32493,-0.5321
the crew demolished an abandoned warehouse.,an abandoned warehouse was demolished by the crew.,demolish,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,demolish,V120,Y,REG,N,984,346.0,2.0,12,0.0,598.0,7.9,8.8,8.1,8.5,7.4,8.8,2.5,8.5,8.4,8.6,1.9109,-0.32493,-0.5321
the fire demolished a vacant lot.,a vacant lot was demolished by the fire.,demolish,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,demolish,V120,Y,REG,N,984,346.0,2.0,12,0.0,598.0,7.9,8.8,8.1,8.5,7.4,8.8,2.5,8.5,8.4,8.6,1.9109,-0.32493,-0.5321
vandals destroyed the statue.,the statue was destroyed by vandals.,destroy,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,destroy,V121,Y,REG,N,5915,4130.0,9.0,266,0.0,1430.0,8.0,7.2,8.1,8.1,6.7,7.9,3.7,8.3,8.6,8.6,1.45916,0.03642,0.83183
the child broke the toy.,the toy was broken by the child.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the storm broke the window.,the window was broken by the storm.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the athlete broke the record.,the record was broken by the athlete.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the chef broke the eggs.,the eggs were broken by the chef.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the mechanic broke the engine.,the engine was broken by the mechanic.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the worker broke the equipment.,the equipment was broken by the worker.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the dog broke the leash.,the leash was broken by the dog.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the team broke the pattern.,the pattern was broken by the team.,break,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,break,V125,Y,PART,N,18319,5222.0,282.0,124,0.0,11767.0,7.8,7.6,9.4,7.4,6.7,8.1,3.0,8.4,7.9,8.2,1.5383,-0.33855,0.31478
the photographer snapped a picture.,a picture was snapped by the photographer.,snap,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,snap,V131,Y,REG,N,2573,110.0,1266.0,2,0.0,1101.0,7.8,8.2,7.3,7.4,7.7,7.6,2.5,7.9,6.8,7.9,1.23644,-0.95132,-0.48269
the musician snapped a string.,a string was snapped by the musician.,snap,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,snap,V131,Y,REG,N,2573,110.0,1266.0,2,0.0,1101.0,7.8,8.2,7.3,7.4,7.7,7.6,2.5,7.9,6.8,7.9,1.23644,-0.95132,-0.48269
the artist snapped a photo.,a photo was snapped by the artist.,snap,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,snap,V131,Y,REG,N,2573,110.0,1266.0,2,0.0,1101.0,7.8,8.2,7.3,7.4,7.7,7.6,2.5,7.9,6.8,7.9,1.23644,-0.95132,-0.48269
the child tore the paper.,the paper was torn by the child.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the cat tore the fabric.,the fabric was torn by the cat.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
a student tore the exam sheet.,the exam sheet was torn by a student.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the artist tore the canvas.,the canvas was torn by the artist.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the dog tore the toy.,the toy was torn by the dog.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the wind tore the flags.,the flags were torn by the wind.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the athlete tore the finish line ribbon.,the finish line ribbon was torn by the athlete.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the editor tore the page from the book.,the page was torn from the book by the editor.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the player tore the playbook.,the playbook was torn by the player.,tear,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,tear,V133,Y,PART,N,2672,409.0,234.0,12,0.0,1795.0,7.7,7.1,7.4,7.9,7.5556,7.8,2.9,7.8,8.1,7.6,1.23637,-0.81884,0.02594
the chef baked a chocolate cake.,a chocolate cake was baked by the chef.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the girl baked cookies yesterday.,cookies were baked by the girl yesterday.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the bakery baked fresh bread.,fresh bread was baked by the bakery.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the brother baked a pie for dessert.,a pie was baked by the brother for dessert.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the children baked a birthday cake.,a birthday cake was baked by the children.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the grandmother baked muffins.,muffins were baked by the grandmother.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
a baker baked a batch of brownies.,a batch of brownies was baked by a baker.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the restaurant baked a special dish.,a special dish was baked by the restaurant.,bake,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bake,V137,Y,REG,N,889,81.0,93.0,0,0.0,607.0,7.6,8.1,8.0,7.8,6.8,7.8,3.6,8.0,7.7,5.6,1.17248,0.10622,-0.20682
the child boiled some eggs.,some eggs were boiled by the child.,boil,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,boil,V138,Y,REG,N,1136,260.0,159.0,0,5.0,693.0,7.9,7.9,8.3,8.3,7.5,8.7,3.1,8.4,8.5,6.9,1.63589,-0.14923,-0.23651
the chef cooked a delicious meal.,a delicious meal was cooked by the chef.,cook,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,cook,V139,Y,REG,N,3488,859.0,829.0,9,0.0,1665.0,7.9,7.5,8.0,8.0,6.7,7.6,2.8,7.7,7.1,6.0,1.11172,-0.51441,-0.70819
the friends cooked a barbecue.,a barbecue was cooked by the friends.,cook,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,cook,V139,Y,REG,N,3488,859.0,829.0,9,0.0,1665.0,7.9,7.5,8.0,8.0,6.7,7.6,2.8,7.7,7.1,6.0,1.11172,-0.51441,-0.70819
the family cooked a large dinner.,a large dinner was cooked by the family.,cook,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,cook,V139,Y,REG,N,3488,859.0,829.0,9,0.0,1665.0,7.9,7.5,8.0,8.0,6.7,7.6,2.8,7.7,7.1,6.0,1.11172,-0.51441,-0.70819
the chef fried an egg.,an egg was fried by the chef.,fry,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,fry,V140,Y,REG,N,510,142.0,23.0,1,0.0,321.0,7.5,7.4,7.3,7.7,6.9,8.53,3.2,7.8,6.8,6.3,1.02793,-0.47748,-0.17555
the restaurant fried potatoes.,potatoes were fried by the restaurant.,fry,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,fry,V140,Y,REG,N,510,142.0,23.0,1,0.0,321.0,7.5,7.4,7.3,7.7,6.9,8.53,3.2,7.8,6.8,6.3,1.02793,-0.47748,-0.17555
the mother fried some bacon.,some bacon was fried by the mother.,fry,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,fry,V140,Y,REG,N,510,142.0,23.0,1,0.0,321.0,7.5,7.4,7.3,7.7,6.9,8.53,3.2,7.8,6.8,6.3,1.02793,-0.47748,-0.17555
the teenager fried a burger.,a burger was fried by the teenager.,fry,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,fry,V140,Y,REG,N,510,142.0,23.0,1,0.0,321.0,7.5,7.4,7.3,7.7,6.9,8.53,3.2,7.8,6.8,6.3,1.02793,-0.47748,-0.17555
the family fried plantains.,plantains were fried by the family.,fry,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,fry,V140,Y,REG,N,510,142.0,23.0,1,0.0,321.0,7.5,7.4,7.3,7.7,6.9,8.53,3.2,7.8,6.8,6.3,1.02793,-0.47748,-0.17555
the neighbor fried donuts.,donuts were fried by the neighbor.,fry,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,fry,V140,Y,REG,N,510,142.0,23.0,1,0.0,321.0,7.5,7.4,7.3,7.7,6.9,8.53,3.2,7.8,6.8,6.3,1.02793,-0.47748,-0.17555
the picnic attendees grilled hot dogs.,hot dogs were grilled by the picnic attendees.,grill,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,grill,V141,Y,REG,N,187,,,7,,,7.5,7.3,7.1,7.6,6.6,7.2,2.5,7.9,7.1,6.4,0.92237,-0.80506,-0.64703
the couple toasted their anniversary.,their anniversary was toasted by the couple.,toast,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,toast,V142,Y,REG,N,311,,,1,,,6.6,6.3,7.3,7.4,4.8,7.1,3.9,7.5,7.2,4.7,0.36125,0.0238,0.34361
the children toasted their victory.,their victory was toasted by the children.,toast,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,toast,V142,Y,REG,N,311,,,1,,,6.6,6.3,7.3,7.4,4.8,7.1,3.9,7.5,7.2,4.7,0.36125,0.0238,0.34361
the teacher began the lesson.,the lesson was begun by the teacher.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the chef began the cooking.,the cooking was begun by the chef.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the students began the project.,the project was begun by the students.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the team began the game.,the game was begun by the team.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the artist began the painting.,the painting was begun by the artist.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the company began a new initiative.,a new initiative was begun by the company.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the doctor began the examination.,the examination was begun by the doctor.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the writer began a novel.,a novel was begun by the writer.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the child began the exercise.,the exercise was begun by the child.,begin,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,begin,V147,Y,PART,N,41429,5413.0,9646.0,31,0.0,29128.0,4.9,7.5,5.1,6.1,1.8,4.3,3.5,6.4,3.9,2.3,-1.06104,-0.07533,-0.86775
the writer started a new book.,a new book was started by the writer.,start,,,TRUE,TRUE,TRUE,Basic AP (non-reversible),Basic,(a) Agent-Patient,start,V152,Y,REG,N,39067,5602.0,10740.0,94,10.0,22392.0,6.2,6.9,7.3,6.4,3.0,5.8,3.5,6.8,3.4,3.4,-0.44805,-0.09741,-0.64556
the child captured a butterfly.,a butterfly was captured by the child.,capture,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,capture,V154,Y,REG,N,3013,,,137,,,8.0,7.9,8.0,7.7,7.8,8.1,3.5,8.3,8.1,7.0,1.42866,-0.16806,0.18166
the artist captured her inspiration.,her inspiration was captured by the artist.,capture,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,capture,V154,Y,REG,N,3013,,,137,,,8.0,7.9,8.0,7.7,7.8,8.1,3.5,8.3,8.1,7.0,1.42866,-0.16806,0.18166
the lifeguard rescued a drowning swimmer.,a drowning swimmer was rescued by the lifeguard.,rescue,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,rescue,V155,Y,REG,N,1583,,,118,,,8.1,7.6,8.1,7.6,6.4,7.9,5.3,7.9,5.5,4.1,0.6961,1.15366,0.44291
the organization rescued several abandoned dogs.,several abandoned dogs were rescued by the organization.,rescue,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,rescue,V155,Y,REG,N,1583,,,118,,,8.1,7.6,8.1,7.6,6.4,7.9,5.3,7.9,5.5,4.1,0.6961,1.15366,0.44291
the neighbors rescued a trapped bird.,a trapped bird was rescued by the neighbors.,rescue,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,rescue,V155,Y,REG,N,1583,,,118,,,8.1,7.6,8.1,7.6,6.4,7.9,5.3,7.9,5.5,4.1,0.6961,1.15366,0.44291
the cat ate the fish.,the fish was eaten by the cat.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
the child ate the cookie.,the cookie was eaten by the child.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
the dog ate the steak.,the steak was eaten by the dog.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
the chef ate his creation.,his creation was eaten by the chef.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
the student ate the sandwich.,the sandwich was eaten by the student.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
the family ate dinner.,dinner was eaten by the family.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
the bird ate the seeds.,the seeds were eaten by the bird.,eat,,,TRUE,TRUE,TRUE,Basic AP (reversible),Basic,(a) Agent-Patient,eat,V156,Y,PART,Y,30277,7575.0,7113.0,101,6.0,2746.0,8.2,7.2,8.5,8.1,8.5,8.0,3.3,7.9,7.2,6.2,1.31636,-0.40818,-0.39414
