subject,object,verb,sentence,active,passive,affectedness,active_tokens,passive_tokens,tokens_active,tokens_passive,active_score,passive_score,pass_drop
The technician,the faulty machine,dismantled,The technician dismantled the faulty machine.,The technician dismantled the faulty machine.,The faulty machine was dismantled by the technician.,high,8,10,8,10,-40.110286712646484,-47.45978546142578,7.349498748779297
The bullet,The glass window,shattered,The bullet shattered the glass window of the abandoned car.,The bullet shattered the glass window of the abandoned car.,The glass window of the abandoned car was shattered by the bullet.,high,13,15,13,15,-34.38615036010742,-41.650577545166016,7.264427185058594
The villain,the spy,suffocated,The villain suffocated the spy with a pillow.,The villain suffocated the spy with a pillow.,The spy with a pillow was suffocated by the villain.,high,11,13,11,13,-36.6907844543457,-51.64070510864258,14.949920654296875
The chef,The vegetables,burned,The chef burned the vegetables to a crisp by accident.,The chef burned the vegetables to a crisp by accident.,The vegetables were burned to a crisp by accident by the chef.,high,14,16,14,16,-44.609130859375,-56.001346588134766,11.392215728759766
The writer,the manuscript,completed,The writer completed the manuscript.,The writer completed the manuscript.,The manuscript was completed by the writer.,high,12,14,12,14,-27.703584671020508,-34.19548797607422,6.491903305053711
The rogue tiger,the village,terrorized,The rogue tiger terrorized the village for weeks.,The rogue tiger terrorized the village for weeks.,The village was terrorized by the rogue tiger for weeks.,high,10,12,10,12,-45.95915222167969,-48.49279022216797,2.5336380004882812
The arsonist,the building,burned,The arsonist burned the building to ashes.,The arsonist burned the building to ashes.,The building was burned to ashes by the aronist.,high,11,14,11,14,-27.9440860748291,-53.21735763549805,25.273271560668945
the thief,the glass display case,shattered,The thief shattered the glass display case to steal the jewels.,The thief shattered the glass display case to steal the jewels.,The glass display case was shattered by the thief to steal the jewels.,high,15,17,15,17,-50.87520980834961,-67.32261657714844,16.447406768798828
The monster,the village,terrorized,The monster terrorized the village.,The monster terrorized the village.,The village was terrorized by the monster.,high,7,9,7,9,-28.946008682250977,-32.49705505371094,3.551046371459961
The giant,the fallen knight,crushed,The giant crushed the fallen knight with one blow.,The giant crushed the fallen knight with one blow.,The fallen knight was crushed by the giant with one blow.,high,11,13,11,13,-48.2174072265625,-58.94530487060547,10.727897644042969
The construction crew,the unsafe structure,demolished,The construction crew demolished the unsafe structure to make way for new development.,The construction crew demolished the unsafe structure to make way for new development.,The unsafe structure was demolished by the construction crew to make way for new development,high,16,17,16,17,-47.70732879638672,-56.14044189453125,8.433113098144531
The king,the prisoner,executed,The king executed the prisoner at dawn.,The king executed the prisoner at dawn.,The prisoner was executed by the king at dawn.,high,9,11,9,11,-26.5363826751709,-33.84709548950195,7.310712814331055
the actor,the prop,knifed,The actor knifed the prop during the final act with dramatic flair.,The actor knifed the prop during the final act with dramatic flair.,The prop was knifed by the actor during the final act with dramatic flair.,high,15,17,15,17,-70.06169891357422,-76.2389907836914,6.1772918701171875
The developers,The old building,demolished,The developers demolished the old building to make way for a new skyscraper.,The developers demolished the old building to make way for a new skyscraper.,The old building was demolished by the developers to make way for a new skyscraper.,high,17,19,17,19,-34.9162712097168,-42.054046630859375,7.137775421142578
The haunted house attraction,the visitors,frightened,The haunted house attraction frightened the visitors with its sudden surprises.,The haunted house attraction frightened the visitors with its sudden surprises.,The visitors were frightened by the haunted house attraction with its sudden surprises.,high,17,19,17,19,-46.98522186279297,-64.81282043457031,17.827598571777344
The thief,the unsuspecting tourists,robbed,The thief robbed the unsuspecting tourists of their valuables.,The thief robbed the unsuspecting tourists of their valuables.,The unsuspecting tourists wer e robbed of their valuables by the thief.,high,13,16,13,16,-41.07892608642578,-83.41857147216797,42.33964538574219
The elephant,the fruit,crushed,The elephant crushed the fruit under its feet.,The elephant crushed the fruit under its feet.,The fruit under its feet was crushed by the elephant.,high,10,12,10,12,-41.323795318603516,-58.73055648803711,17.406761169433594
The chef,the potatoes,boiled,The chef boiled the potatoes in a large pot.,The chef boiled the potatoes in a large pot.,The potatoes were boiled by the chef in a large pot.,high,14,16,14,16,-37.13498306274414,-52.518192291259766,15.383209228515625
The gang,the local residents,terrorized,The gang terrorized the local residents for months.,The gang terrorized the local residents for months.,The local residents were terrorized by the gang for months.,high,10,12,10,12,-34.9022331237793,-41.53462219238281,6.632389068603516
suspect,detective,murdered,The suspect murdered the detective in his own living room.,The suspect murdered the detective in his own living room.,The detective was murdered by the suspect in his own living room.,high,15,17,15,17,-41.290924072265625,-46.11484909057617,4.823925018310547
The lifeguard,the intruder,drowned,The lifeguard drowned the intruder during practice.,The lifeguard drowned the intruder during practice.,The intruder was drowned by the lifeguard during practice.,high,11,13,11,13,-45.97801971435547,-58.26148223876953,12.283462524414062
The pirate captain,the enemies,drowned,The pirate captain drowned the enemies in the turbulent sea.,The pirate captain drowned the enemies in the turbulent sea.,The enemies were drowned into the turbulent sea by the pirate captain.,high,14,16,14,16,-45.03582000732422,-65.3475112915039,20.311691284179688
The explosion,The old abandoned warehouse,destroyed,The explosion destroyed the old abandoned warehouse.,The explosion destroyed the old abandoned warehouse.,The old abandoned warehouse was destroyed by the explosion.,high,11,13,11,13,-30.446578979492188,-32.649742126464844,2.2031631469726562
criminal gang,local businesses,terrorized,The criminal gang terrorized the local businesses in the downtown area.,The criminal gang terrorized the local businesses in the downtown area.,The local businesses in the downtown area were terrorized by the criminal gang.,high,16,18,16,18,-44.50368881225586,-51.88563919067383,7.381950378417969
The team,the stalled car,pushed,The team pushed the stalled car to the side of the road.,The team pushed the stalled car to the side of the road.,The stalled car was pushed to the side of the road by the team.,high,14,16,14,16,-42.138084411621094,-44.05169677734375,1.9136123657226562
the hurricane,windows across the coastal town,shattered,The hurricane shattered windows across the coastal town.,The hurricane shattered windows across the coastal town.,Windows across the coastal town were shattered by the hurricane.,high,11,13,11,13,-34.228328704833984,-44.9080810546875,10.679752349853516
the movie villain,his adversary,strangled,The movie villain strangled his adversary without hesitation.,The movie villain strangled his adversary without hesitation.,His adversary was strangled without hesitation by the movie villain.,high,10,12,10,12,-47.3338737487793,-65.7790756225586,18.445201873779297
the spy,the guard,strangled,The spy strangled the guard silently in the shadows.,The spy strangled the guard silently in the shadows.,The guard was strangled silently in the shadows by the spy.,high,13,15,13,15,-37.76723861694336,-53.169368743896484,15.402130126953125
The machine,The scrap metal,crushed,The machine crushed the scrap metal into a compact cube.,The machine crushed the scrap metal into a compact cube.,The scrap metal was crushed into a compact metal cube by the machine.,high,13,16,13,16,-40.439754486083984,-50.21922302246094,9.779468536376953
The storm,The small fishing village,wrecked,The storm wrecked the small fishing village overnight.,The storm wrecked the small fishing village overnight.,The small fishing village was wrecked overnight by the storm.,high,10,12,10,12,-33.516502380371094,-40.63393783569336,7.117435455322266
the thief,the vase,broke,The thief broke the vase during the heist.,The thief broke the vase during the heist.,The vase was broke by the thief during the heist.,high,12,14,12,14,-34.27649688720703,-49.11659622192383,14.840099334716797
the angry customer,the sales clerk,pushed,The angry customer pushed the sales clerk.,The angry customer pushed the sales clerk.,The sales clerk was pushed by the angry customer.,high,9,11,9,11,-44.33964157104492,-42.95358657836914,-1.3860549926757812
The state,the prisoner,executed,The state officially executed the prisoner as per the court's final ruling.,The state officially executed the prisoner as per the court's final ruling.,The prisoner was officially executed by the state as per the court's final ruling.,high,16,18,16,18,-57.13740158081055,-60.90764617919922,3.770244598388672
The bully,the boy,pushed,The bully pushed the boy off the swing.,The bully pushed the boy off the swing.,The boy was pushed off the swing by the bully.,high,10,12,10,12,-43.031803131103516,-47.411102294921875,4.379299163818359
The burglar,the antique vase,broke,The burglar broke the antique vase during the heist.,The burglar broke the antique vase during the heist.,The antique vase was broke by the burglar during the heist.,high,13,15,13,15,-36.002952575683594,-58.96033477783203,22.957382202148438
The villain,The hostage,strangled,The villain strangled the hostage to intimidate the hero.,The villain strangled the hostage to intimidate the hero.,The hostage was strangled by the villain to intimidate the hero.,high,13,15,13,15,-49.33824920654297,-58.12226104736328,8.784011840820312
the outlaw,the sheriff,murdered,The outlaw brutally murdered the sheriff.,The outlaw brutally murdered the sheriff.,The sheriff was brutally murdered by the outlaw.,high,8,10,8,10,-38.99564743041992,-42.811912536621094,3.816265106201172
The butler,The victim,murdered,The butler murdered the victim.,The butler murdered the victim.,The victim was murdered by the butler.,high,8,10,8,10,-25.33985137939453,-31.68461036682129,6.344758987426758
The criminal,His opponent,suffocated,The criminal suffocated his opponent with a pillow.,The criminal suffocated his opponent with a pillow.,His opponent was suffocated by the criminal with a pillow.,high,10,12,10,12,-37.4305419921875,-48.0640869140625,10.633544921875
The pest control worker,the termites,exterminated,The pest control worker exterminated the termites in the basement.,The pest control worker exterminated the termites in the basement.,The termites in the basement were exterminated by the pest control worker.,high,13,15,13,15,-33.86249923706055,-56.53934860229492,22.676849365234375
The ghost,the children,frightened,The ghost frightened the children in the haunted house.,The ghost frightened the children in the haunted house.,The children in the haunted house were frightened by the ghost.,high,12,14,12,14,-38.2779426574707,-36.28849792480469,-1.9894447326660156
The man,The pile of dry leaves,burned,The man burned the pile of dry leaves in the backyard.,The man burned the pile of dry leaves in the backyard.,The pile of dry leaves in the backyard were burned by the man.,high,14,16,14,16,-41.55128479003906,-56.174808502197266,14.623523712158203
The kidnapper,the victim,suffocated,The kidnapper suffocated the victim with a pillow.,The kidnapper suffocated the victim with a pillow.,The victim was suffocated by the kidnapper with a pillow.,high,11,13,11,13,-42.626094818115234,-49.94279098510742,7.3166961669921875
The scientist,the experimental compound,synthesized,The scientist synthesized the experimental compound.,The scientist synthesized the experimental compound.,The experimental compound was synthesized by the scientist.,high,8,10,8,10,-41.52384948730469,-44.32344055175781,2.799591064453125
knight,mythical beast,stabbed,The knight stabbed the sword into the mythical beast.,The knight stabbed the sword into the mythical beast.,The sword was stabbed by the knight into the mythical beast.,high,13,15,13,15,-51.59855270385742,-58.602176666259766,7.003623962402344
the butler,the wealthy businessman,murdered,The detective murdered the wealthy businessman.,The detective murdered the wealthy businessman.,The wealthy businessman was murdered by the detective.,high,10,12,10,12,-29.093605041503906,-41.88279724121094,12.789192199707031
The chef,a flawless soufflé,executed,The chef executed a flawless soufflé for the guests.,The chef executed a flawless soufflé for the guests.,A flawless soufflé was executed for the guests by the chef.,high,13,15,13,15,-49.730491638183594,-71.99078369140625,22.260292053222656
The firing squad,the prisoner,executed,The firing squad executed the prisoner at dawn.,The firing squad executed the prisoner at dawn.,The prisoner was executed by the firing squad at dawn.,high,11,13,11,13,-24.12323760986328,-36.080909729003906,11.957672119140625
The earthquake,the downtown skyscraper,collapsed,The earthquake collapsed the downtown skyscraper.,The earthquake collapsed the downtown skyscraper.,The downtown skyscraper was collapsed by the earthquake.,high,11,13,11,13,-38.3552131652832,-38.389705657958984,0.03449249267578125
The machine,The rocks,crushed,The machine crushed the rocks into gravel.,The machine crushed the rocks into gravel.,The rocks were crushed by the machine into gravel.,high,9,11,9,11,-30.941097259521484,-41.24733352661133,10.306236267089844
The predator,the village,terrorized,The predator terrorized the village for months.,The predator terrorized the village for months.,The village was terrorized by the predator for months.,high,9,11,9,11,-35.224586486816406,-41.694984436035156,6.47039794921875
The construction worker,The rock,crushed,The construction worker crushed the rock with a heavy machine.,The construction worker crushed the rock with a heavy machine.,The rock was crushed by the construction worker with a heavy machine.,high,12,14,12,14,-42.852272033691406,-53.83381271362305,10.98154067993164
The heavy rain,The small garden,drowned,The heavy rain drowned the small garden under inches of water.,The heavy rain drowned the small garden under inches of water.,The small garden was drowned by the heavy rain under inches of water.,high,13,15,13,15,-45.81284713745117,-60.89826202392578,15.08541488647461
The killer,The victim,suffocated,The killer suffocated the victim with a pillow.,The killer suffocated the victim with a pillow.,The victim was suffocated by the killer with a pillow.,high,12,14,12,14,-30.075725555419922,-39.98163986206055,9.905914306640625
The movers,the antique vase,broke,The movers accidentally broke the antique vase.,The movers accidentally broke the antique vase.,The antique vase was accidentally broke by the movers.,high,12,14,12,14,-47.24953842163086,-67.88513946533203,20.635601043701172
The photographer,the wedding photos,shot,The photographer shot the wedding photos beautifully.,The photographer shot the wedding photos beautifully.,The wedding photos were beautifully shot by the photographer.,high,14,16,14,16,-38.79752731323242,-37.19816970825195,-1.5993576049804688
The gang,the small village,terrorized,The gang terrorized the small village for weeks.,The gang terrorized the small village for weeks.,The small village was terrorized by the gang for weeks.,high,10,12,10,12,-30.68259048461914,-42.285465240478516,11.602874755859375
The storm,the old pier,smashed,The storm smashed the old pier.,The storm smashed the old pier.,The old pier was smashed by the storm.,high,8,10,8,10,-33.55554962158203,-35.72983169555664,2.1742820739746094
The guerrilla fighters,the small rural community,terrorized,The guerrilla fighters terrorized the small rural community.,The guerrilla fighters terrorized the small rural community.,The small rural community was terrorized by the guerilla fighters.,high,12,15,12,15,-41.67456817626953,-48.75203323364258,7.077465057373047
The lifeguard,the child who nearly drowned in the pool,saved,The lifeguard saved the child who nearly drowned in the pool.,The lifeguard saved the child who nearly drowned in the pool.,The child who nearly drowned in the pool was saved by the lifeguard.,high,15,17,15,17,-44.40052795410156,-44.778316497802734,0.3777885437011719
The arsonist,the building,demolished,The arsonist demolished the building.,The arsonist demolished the building.,The building was demolished by the arsonist.,high,9,11,9,11,-27.259166717529297,-29.689189910888672,2.430023193359375
